hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
BASALLO/LAVA MEN KIN,Hero,25,10,9,90,0.2777777777777778
BASALTAR,Hero,139,57,41,2337,0.05947796320068464
BASILISK II,Villain,2,1,2,2,1.0
BASILISK III/,Villain,1061,400,218,87200,0.01216743119266055
BASILISK/BASIL ELKS,Villain,1879,696,252,175392,0.010713145411421274
BATAL/,Hero,1,1,1,1,1.0
BATROC/GEORGES BATRO,Villain,6997,2434,529,1287586,0.005434200123331567
BATTERING RAM,Hero,4,2,3,6,0.6666666666666666
BATTERY/,Hero,6,3,2,6,1.0
"BATTLE, MONTGOMERY",Hero,1143,313,199,62287,0.018350538635670363
BATTLEAXE II/JEROME,Hero,999,265,181,47965,0.020827686854998435
BATTLEAXE/,Hero,2187,509,287,146083,0.014970941177275932
BATTLESTAR/LEMAR HOS,Hero,5508,1761,470,827670,0.0066548261988473665
BATWING/,Hero,1861,652,227,148004,0.012573984486905759
BAV-TEK,Hero,1,1,1,1,1.0
BAXTER,Hero,1,1,1,1,1.0
"BAXTER, ABIGAIL",Hero,489,165,125,20625,0.02370909090909091
"BAXTER, NOAH",Hero,1503,461,224,103264,0.01455492717694453
"BAYLOR, FRANK",Hero,1,1,1,1,1.0
BAYMAX,Hero,1334,348,203,70644,0.018883415435139574
"BAZIN, ALLEGRA",Hero,306,74,77,5698,0.053703053703053706
"BAZIN, ANDREW",Hero,153,23,52,1196,0.12792642140468227
"BAZIN, BRODERICK RIC",Hero,301,69,77,5313,0.05665349143610013
"BAZIN, PHILLIPPE",Hero,478,148,97,14356,0.033296182780718865
"BEACH, GINGER",Hero,2622,715,371,265265,0.009884455167474035
"BEACH, SPIDER",Hero,2622,714,371,264894,0.009898298942218397
"BEALE, ERIC",Hero,172,44,52,2288,0.07517482517482517
BEAR/,Hero,863,283,150,42450,0.020329799764428738
BEAST 2013,Hero,1,1,1,1,1.0
BEAST DOPPELGANGER,Villain,3034,1095,395,432525,0.0070146234321715505
BEAST DOPPELGANGER I,Villain,3377,1197,415,496755,0.006798119797485682
BEAST/HENRY &HANK& P,Hero,13981,5809,710,4124390,0.003389834617967748
"BEAUMONT, SPENCER",Hero,260,71,53,3763,0.06909380813180972
BEAUTIFUL DREAMER,Hero,1539,411,206,84666,0.01817730848274396
BEAUTIFUL DREAMER II,Hero,432,153,95,14535,0.029721362229102165
BEAUTY,Hero,745,231,117,27027,0.027565027565027565
"BECKFORD, NOEL",Hero,1819,628,232,145696,0.012484900065890621
"BECKLEY, BENNY",Hero,1,1,1,1,1.0
"BECKMAN, CHARLES",Hero,1,1,1,1,1.0
"BECKMAN, JOSEPH",Hero,1,1,1,1,1.0
"BECKMAN, LISA",Hero,1,1,1,1,1.0
"BECKMAN, SARAH",Hero,1,1,1,1,1.0
"BEDFORD, BRAD HULK",Hero,1,1,1,1,1.0
BEDLAM II/OLISA KABA,Hero,1893,683,232,158456,0.011946534053617407
BEDLAM/JESSE AARONSO,Hero,3874,1308,412,538896,0.007188771117247112
BEEF/,Villain,160,36,51,1836,0.08714596949891068
BEEFER,Hero,1876,535,272,145520,0.012891698735568995
"BEERE, JASON",Hero,279,94,67,6298,0.04429977770720864
BEETLE II/LEILA DAVI,Villain,2603,767,310,237770,0.010947554359254742
BEETLE ROBOT,Hero,1770,416,249,103584,0.01708758109360519
BEETLE/ABNER RONALD,Villain,8710,3370,596,2008520,0.004336526397546452
BEHEMOTH,Hero,152,22,52,1144,0.13286713286713286
"BEL-DANN, GEN.",Hero,780,223,103,22969,0.033958814053724584
BELASCO,Villain,1052,297,196,58212,0.018071875214732358
BELDAME,Hero,1253,321,191,61311,0.020436789483127007
"BELGRADE, DR. HORATI",Hero,1797,668,229,152972,0.011747247862353895
BELIAL,Hero,126,49,38,1862,0.06766917293233082
"BELL, HERBERT",Hero,2,2,1,2,1.0
BELLADONNA,Hero,1649,601,202,121402,0.013582972273932884
BELLAM,Hero,271,106,68,7208,0.03759711431742508
BELLE,Hero,1,1,1,1,1.0
BENAZA,Hero,1,1,1,1,1.0
BENCHLEY,Hero,3,2,2,4,0.75
"BENDIX, DR. ALBERT",Hero,316,93,75,6975,0.04530465949820789
BENEDICT,Hero,1978,658,308,202664,0.009759996842063712
"BENEDICT, ANDREW",Hero,1,1,1,1,1.0
BENGAL/,Hero,1351,516,260,134160,0.010070065593321407
"BENJAMIN, BYRON",Hero,52,7,25,175,0.29714285714285715
"BENNETT, DANNY",Hero,195,120,28,3360,0.05803571428571429
"BENNETT, MITCH",Hero,195,120,28,3360,0.05803571428571429
"BENNING, VERONICA",Hero,230,89,65,5785,0.03975799481417459
"BENNY, JAKE",Hero,1,1,1,1,1.0
"BENTLEY, MILES",Hero,886,289,154,44506,0.01990742821192648
"BENTLEY, VICTORIA",Hero,461,208,95,19760,0.02332995951417004
"BENTON, TERRY",Hero,250,95,62,5890,0.042444821731748725
"BENWAY, DR.",Hero,741,212,123,26076,0.028416935112747354
"BERDITCHEV, ITZHAK",Hero,1,1,1,1,1.0
BEREET,Hero,2959,1021,324,330804,0.008944873701648107
"BERENGHETTI, MICHAEL",Hero,391,100,87,8700,0.04494252873563218
"BERENGHETTI, SUSAN",Hero,320,119,75,8925,0.035854341736694675
"BERGER, PROF.",Hero,6,5,2,10,0.6
"BERGIER, REBECCA",Hero,228,90,62,5580,0.04086021505376344
"BERGLUND, GEN.",Hero,419,160,90,14400,0.029097222222222222
"BERKELEY, TRAVIS",Hero,223,87,62,5394,0.041342232109751575
"BERMAN, ADAM",Hero,123,51,40,2040,0.060294117647058824
BERNARD THE POET,Hero,1704,452,246,111192,0.015324843513921865
"BERNHARD, CLARICE",Hero,2079,671,257,172447,0.012055878037889902
BERNIE,Hero,1106,422,229,96638,0.011444773277592666
"BERNSTEIN, DR. NOAH",Hero,52,32,12,384,0.13541666666666666
"BERNSTEIN, EMMA WEBS",Hero,13,8,5,40,0.325
BERSERKER,Villain,2,2,1,2,1.0
BERSERKER II,Villain,1,1,1,1,1.0
BERSERKER III,Villain,1,1,1,1,1.0
BERTRAM,Hero,23,13,7,91,0.25274725274725274
BERYL,Hero,151,38,47,1786,0.0845464725643897
BERYLLIUM,Hero,854,165,150,24750,0.034505050505050504
BETA RAY BILL,Hero,3682,1165,423,492795,0.007471666717397701
BETA RAY BILL | MUTA,Hero,88,30,29,870,0.10114942528735632
"BETELHEIM, NORMA",Hero,1,1,1,1,1.0
BETTY-6,Hero,100,46,40,1840,0.05434782608695652
BEVATRON/,Hero,162,36,52,1872,0.08653846153846154
"BEYNON, DR. BRADLEY",Hero,128,55,37,2035,0.0628992628992629
BEYONDER,Villain,6730,2450,530,1298500,0.005182903350019253
