hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
COLLECTIVE MAN,Hero,3991,1411,421,594031,0.006718504589827804
COLLECTIVE MAN II,Hero,251,75,83,6225,0.04032128514056225
COLLECTOR/TANELEER T,Villain,4796,1730,441,762930,0.006286291009660126
COLLETTE,Hero,1019,401,219,87819,0.011603411562418155
"COLLINS, BRADBURY",Hero,7,4,3,12,0.5833333333333334
"COLLINS, DEMITRIUS",Hero,1372,469,194,90986,0.015079242960455454
"COLLINS, EMMA",Hero,1198,356,204,72624,0.016495924212381583
"COLLINS, NICK",Hero,153,64,43,2752,0.05559593023255814
"COLLINS, TRACY",Hero,233,100,55,5500,0.04236363636363636
"COLON, CHERYL",Hero,156,54,30,1620,0.0962962962962963
COLOSSUS,Hero,1,1,1,1,1.0
COLOSSUS 2013,Hero,1695,463,242,112046,0.015127715402602503
COLOSSUS II DOPPELGA,Hero,3366,1235,417,514995,0.00653598578626977
COLOSSUS II | MUTANT,Hero,90,31,29,899,0.10011123470522804
COLOSSUS II/PETER RA,Hero,12435,4899,676,3311724,0.0037548418889979964
COMANCHE,Hero,51,29,11,319,0.15987460815047022
COMBAT/,Hero,4,4,1,4,1.0
COMET MAN/DR. STEPHE,Hero,133,89,21,1869,0.07116104868913857
COMET/HARRIS MOORE,Hero,87,49,23,1127,0.0771960958296362
COMMANDER BLAZE,Hero,1,1,1,1,1.0
COMMANDER COURAGE/,Hero,268,68,96,6528,0.04105392156862745
COMMANDO/M-NELL,Hero,1058,416,226,94016,0.011253403675970048
COMMCAST/GARABED BAS,Hero,1714,444,257,114108,0.015020857433308795
COMPUTO,Villain,26,15,11,165,0.15757575757575756
"CONAN, NEAL",Hero,1640,419,257,107683,0.015229887726010605
"CONCIERGE, LE/",Hero,744,248,122,30256,0.02459016393442623
CONDOR,Hero,726,197,98,19306,0.037604889671604684
"CONKLIN, CAPT.",Hero,1176,403,161,64883,0.018124932570935375
"CONNORS, BILLY",Hero,2310,841,251,211091,0.010943147741969103
"CONNORS, MARTHA",Hero,2312,841,251,211091,0.010952622328758687
"CONOVER, ALYSSA",Hero,118,47,37,1739,0.06785508913168488
"CONOVER, HANNAH",Hero,973,258,186,47988,0.020275902308910562
"CONOVER, REV. WILLIA",Hero,973,258,186,47988,0.020275902308910562
"CONOWAY, SEKMEHT",Hero,187,58,50,2900,0.06448275862068965
CONQUEST/BRIDGET MAL,Hero,1894,683,232,158456,0.01195284495380421
"CONRAD, LUTHER DUTCH",Hero,326,130,59,7670,0.04250325945241199
"CONROY, KAREN",Hero,341,97,86,8342,0.040877487413090385
CONSTRICTOR/FRANK PA,Villain,5293,1831,484,886204,0.005972665435949285
CONSUELA,Hero,1235,284,218,61912,0.01994766765732007
CONSUMPTION,Hero,367,106,93,9858,0.03722864678433759
CONTEMPLATOR/TATH KI,Hero,1999,618,298,184164,0.010854455811124868
"CONTONI, PAUL",Hero,1570,578,194,112132,0.01400135554525024
"CONTRARES, ANASTASIA",Hero,3,2,2,4,0.75
CONTROLLER/BASIL SAN,Villain,4313,1439,458,659062,0.006544149108885052
CONUNDRUM/,Hero,1709,623,215,133945,0.012758968233230058
"CONWAY, GERRY",Hero,1522,449,235,105515,0.014424489409088755
"COOPER, COLE",Hero,2578,872,272,237184,0.01086919859686994
"COOPER, DR. VALERIE",Hero,9188,3365,611,2056015,0.0044688389919334244
"COOPER, ROGER CAPS",Hero,1604,582,280,162960,0.009842906234658812
"COOPER, TERI",Hero,1,1,1,1,1.0
"COOPER, WHITNEY III",Hero,115,44,37,1628,0.07063882063882064
COPPER,Hero,853,165,150,24750,0.03446464646464646
COPPERHEAD II/,Hero,2,2,1,2,1.0
COPPERHEAD III/DAVIS,Hero,2811,759,365,277035,0.010146732362336888
COPPERHEAD IV/,Hero,842,293,146,42778,0.019683014633690214
COPPERHEAD/LAWRENCE,Hero,984,385,214,82390,0.011943196989925962
"COPPERSMITH, ALFRED",Hero,788,270,128,34560,0.022800925925925926
COPYCAT/VANESSA,Hero,2892,837,358,299646,0.009651388638593541
CORAL,Hero,1,1,1,1,1.0
"CORBEAU, DR. PETER",Hero,5538,1962,487,955494,0.0057959547626672695
"CORD, EDWIN",Hero,1579,423,232,98136,0.016089916034890357
"CORD, JANICE",Hero,1092,416,215,89440,0.012209302325581395
CORDITE,Hero,1,1,1,1,1.0
"CORDOVA, JUAN",Hero,1,1,1,1,1.0
"CORNELIUS, DR.",Hero,1274,358,214,76612,0.01662924868166867
CORONA/DAGNY FORREST,Hero,572,183,77,14091,0.04059328649492584
CORONARY/JIMMY SHARP,Hero,85,35,32,1120,0.07589285714285714
CORONER,Hero,587,163,96,15648,0.03751278118609407
"CORRIGAN, ARCHIBALD",Hero,24,20,5,100,0.24
CORRUPTOR/JACKSON DA,Villain,1073,286,221,63206,0.016976236433250008
CORSAIR,Hero,4722,1602,477,764154,0.006179382689876648
"CORSI, TOM",Hero,3920,1180,430,507400,0.007725660228616476
"CORTES, MARIA PILAR",Hero,877,224,173,38752,0.022631090008257637
"CORTEZ, FABIAN",Villain,3485,1009,365,368285,0.009462780183825027
COSMIC MESSIAH,Hero,729,238,153,36414,0.020019772614928325
COTTONMOUTH,Villain,2,2,1,2,1.0
COTTONMOUTH II,Villain,4212,1428,450,642600,0.006554621848739495
"COUNT NEFARIA, LUCHI",Villain,2731,925,362,334850,0.008155890697327162
COUNTERWEIGHT II/KAT,Hero,7012,2511,535,1343385,0.005219650360842201
COUNTERWEIGHT/JACK P,Hero,6635,2409,524,1262316,0.005256211598363643
COURIER/JACOB GAVIN,Hero,1441,428,226,96728,0.014897444380117442
"COURTNEY, DELPHINE",Hero,160,55,48,2640,0.06060606060606061
"COVEY, LAWRENCE K.",Hero,1,1,1,1,1.0
"COWAN, EARL",Hero,1,1,1,1,1.0
"COWEN, BUCK",Hero,1959,763,236,180068,0.010879223404491637
"COWEN, ELAINE",Hero,118,72,19,1368,0.08625730994152046
"COY, GENERAL NGUYEN",Hero,1462,428,219,93732,0.015597661417658858
COYOTE,Hero,610,148,119,17612,0.0346354758119464
CR'REEE,Hero,2765,922,364,335608,0.008238778575004171
"CRAIG, REV.",Hero,1276,325,175,56875,0.022435164835164834
"CRANDAL, BEN",Hero,233,94,56,5264,0.0442629179331307
CRANUS,Hero,136,36,36,1296,0.10493827160493827
"CRAWFORD, GEN.",Hero,1,1,1,1,1.0
"CRAWLEY, BETRAND",Hero,49,42,7,294,0.16666666666666666
CRAZY EIGHT/LESLIE A,Hero,129,34,43,1462,0.08823529411764706
CREED,Hero,23,13,7,91,0.25274725274725274
"CREED, GRAYDON",Villain,3708,1225,401,491225,0.0075484757494020055
"CREED, GRAYDON | MUT",Villain,87,30,28,840,0.10357142857142858
CREEP/,Hero,1659,610,209,127490,0.013012785316495412
CRIME-BUSTER/,Hero,1,1,1,1,1.0
CRIME-MASTER/NICK LU,Villain,1830,654,225,147150,0.012436289500509684
CRIME-WAVE/HOLLIS,Villain,2,2,1,2,1.0
CRIMEBUSTER/FRANK MO,Hero,510,156,97,15132,0.033703409992069784
CRIMEWAVE/,Villain,742,248,121,30008,0.024726739536123702
CRIMSON,Hero,152,39,47,1833,0.08292416803055101
CRIMSON COMMANDO/FRA,Hero,2995,804,376,302304,0.00990724568646131
CRIMSON COWL II/,Villain,3759,1125,423,475875,0.00789913317572892
CRIMSON CRUSADER/ROR,Hero,2,2,1,2,1.0
CRIMSON DAFFODIL,Hero,857,303,136,41208,0.020796932634439914
CRIMSON DYNAMO II/BO,Villain,983,385,213,82005,0.011987073958904944
CRIMSON DYNAMO III/A,Villain,1244,448,223,99904,0.012451953875720692
CRIMSON DYNAMO IV/YU,Villain,1041,413,220,90860,0.011457186880915694
CRIMSON DYNAMO V/DIM,Villain,4713,1551,472,732072,0.006437891354948694
CRIMSON DYNAMO VI/VA,Villain,1097,442,233,102986,0.010651933272483639
CRIMSON DYNAMO VIII/,Villain,869,270,170,45900,0.018932461873638343
CRIMSON DYNAMO/PROF.,Villain,983,385,213,82005,0.011987073958904944
CRIPPLER/KARL STRIKL,Hero,2504,728,317,230776,0.010850348389780566
CRITIC,Hero,175,60,63,3780,0.046296296296296294
CRITICAL MASS,Hero,94,8,39,312,0.30128205128205127
CRIX,Hero,1,1,1,1,1.0
"CROIX, ASHLEY",Hero,1858,648,224,145152,0.012800374779541447
"CROMWELL, HAMILTON",Hero,310,91,74,6734,0.04603504603504603
"CROSS, GENEVIEVE",Hero,94,42,25,1050,0.08952380952380952
"CROSS, HAROLD",Hero,1,1,1,1,1.0
"CROSS, JASON",Hero,1,1,1,1,1.0
"CROSS, STANLEY",Hero,332,143,80,11440,0.02902097902097902
"CROSS-WALLACE, SIR G",Hero,7,7,1,7,1.0
CROSS/,Hero,823,200,142,28400,0.02897887323943662
"CROSSAN, ANNIE",Hero,34,9,13,117,0.2905982905982906
CROSSBONES II/,Villain,3,2,2,4,0.75
CROSSBONES/BROCK BIN,Villain,4670,1648,488,804224,0.005806839885405061
CROSSBOW,Villain,743,249,121,30129,0.024660625974974277
CROSSFIRE,Villain,237,49,69,3381,0.07009760425909495
CROTUS,Hero,210,82,57,4674,0.044929396662387676
"CROW, REV. JOSHUA",Hero,16,14,3,42,0.38095238095238093
"CROWE, GERONIMO",Hero,176,67,48,3216,0.05472636815920398
CROWLEY,Hero,91,41,21,861,0.10569105691056911
"CROWLEY, SEN.",Hero,1,1,1,1,1.0
CROWN,Hero,1847,708,218,154344,0.011966775514435287
CRUCIBLE/BYRON CALLE,Hero,2836,825,349,287925,0.00984978727099071
CRULE,Hero,551,192,112,21504,0.02562313988095238
CRUSADER II/ARTHUR B,Villain,196,75,53,3975,0.04930817610062893
CRUSADER X/BRIAN BRA,Villain,898,239,174,41586,0.021593805607656422
CRUSHER II/JUAN APON,Villain,1,1,1,1,1.0
CRUSHER/EL PROFESSOR,Villain,298,123,65,7995,0.037273295809881174
CRUSHTACEAN,Hero,217,79,49,3871,0.05605786618444846
CRUX/CRISTAL LEMIUEX,Hero,273,87,58,5046,0.054102259215219974
CRYSTAL [INHUMAN],Hero,11329,4349,666,2896434,0.003911361349852957
CUDGEL/,Hero,1,1,1,1,1.0
CUEBALL/,Hero,1,1,1,1,1.0
CUFFS/,Hero,3,3,1,3,1.0
"CUMMINGS, DIANE",Hero,49,25,8,200,0.245
CURSED LOTUS,Hero,2,2,1,2,1.0
"CURSON, LT. TARA",Hero,187,64,82,5248,0.03563262195121951
"CURZON, DETECTIVE IN",Hero,446,129,90,11610,0.03841515934539191
"CUSHING, KATE",Hero,6435,2314,492,1138488,0.005652233488627021
"CUSSLER, PHILLIP",Hero,1707,628,201,126228,0.013523148588268847
"CUSSLER, PHILLIP JR.",Hero,1707,628,201,126228,0.013523148588268847
CUT,Hero,988,389,214,83246,0.011868438123153064
CUTTER,Hero,1614,422,223,94106,0.01715087242046203
CUTTHROAT/DANIEL LEI,Hero,968,289,157,45373,0.02133427368699447
CY-PHYRR 4,Hero,585,161,96,15456,0.037849378881987576
CYANIDE JANE,Hero,6,6,1,6,1.0
CYBELE [ETERNAL],Hero,59,28,19,532,0.11090225563909774
CYBER,Hero,509,154,113,17402,0.029249511550396505
CYBERMANCER/DR. SUZI,Hero,994,389,215,83635,0.011884976385484546
CYBERSLIK,Hero,100,46,40,1840,0.05434782608695652
CYBERTOOTH/YEN HSIEH,Hero,3,3,1,3,1.0
CYBORG X/,Hero,1187,339,169,57291,0.020718786545879806
CYCLONE,Villain,2667,855,285,243675,0.010944906124961526
CYCLONE II/PIERRE FR,Villain,3013,935,376,351560,0.008570372055979065
CYCLOPS 2013,Hero,1,1,1,1,1.0
CYCLOPS DOPPELGANGER,Villain,3360,1235,416,513760,0.006540018685767673
CYCLOPS II,Hero,3,2,2,4,0.75
CYCLOPS | MUTANT X-V,Hero,89,31,29,899,0.09899888765294772
CYCLOPS/SCOTT SUMMER,Hero,13310,5396,691,3728636,0.0035696699811941955
CYLLA,Hero,1,1,1,1,1.0
CYLLA II,Hero,1739,487,220,107140,0.01623109949598656
CYNAS,Hero,835,252,110,27720,0.030122655122655124
CYPHER/DOUG RAMSEY,Hero,7637,2849,553,1575497,0.004847359277739024
CYPRESS/,Hero,1,1,1,1,1.0
CYRA [ASGARDIAN],Hero,705,254,107,27178,0.025940098609169182
CYTTORAK,Hero,968,273,178,48594,0.019920154751615425
"D'ALEXIS, AMBER",Hero,54,14,13,182,0.2967032967032967
"D'ANGELO, LIEUTENANT",Hero,1815,697,206,143582,0.012640860274964829
"D'AURIA, JACK",Hero,385,152,95,14440,0.026662049861495844
D'KAY,Villain,3,3,1,3,1.0
D'KEN [SHI'AR],Villain,1346,398,204,81192,0.016577987979111242
D'SPAYRE,Villain,1670,651,271,176421,0.009465993277444296
D'SPRYTE,Hero,2,2,1,2,1.0
D'WON,Hero,48,24,17,408,0.11764705882352941
D.K./DAVID KALEN,Villain,1863,671,208,139568,0.01334833199587298
D.O.A.,Hero,1065,304,171,51984,0.020487072945521698
"DA COSTA, EMMANUEL",Hero,2085,564,293,165252,0.012617093892963473
"DABOIA, RUSSELL",Hero,28,6,9,54,0.5185185185185185
"DABUTA, NIGEL",Hero,983,384,214,82176,0.011962130062305296
DADDY LONGLEGS/RAMSE,Hero,632,233,147,34251,0.01845201599953286
DADDY WRONGLEGS,Villain,982,384,213,81792,0.012006064162754303
DAGDA,Hero,1,1,1,1,1.0
DAGGER/TANDY BOWEN,Hero,6679,2638,537,1416606,0.004714790139248316
DAGGER/TANDY BOWEN |,Hero,86,29,29,841,0.10225921521997622
"DAHN, FARNOQ",Hero,35,21,13,273,0.1282051282051282
DAI-KUMO,Hero,3,3,1,3,1.0
"DAKESIAN, NANCI",Hero,1230,471,240,113040,0.010881104033970275
DAKIMH THE ENCHANTER,Hero,2226,778,346,269188,0.008269313639538166
DAKINI,Hero,211,93,50,4650,0.04537634408602151
"DAKOR, YOGI",Hero,1134,370,206,76220,0.014877984780897403
DAMAGE,Villain,2,2,1,2,1.0
DAMBALLAH,Hero,2,2,1,2,1.0
DAMBALLAH II,Hero,25,8,10,80,0.3125
"DAMIAN, DR. DANIEL",Hero,110,50,32,1600,0.06875
"DAMIAN, MARGO",Hero,128,66,32,2112,0.06060606060606061
DAN-FARR,Hero,1279,379,236,89444,0.014299449935154957
DANGOR,Hero,6,3,2,6,1.0
DANIA,Hero,341,148,88,13024,0.026182432432432432
"DANIELS, BRIE",Hero,422,84,84,7056,0.059807256235827666
"DANNING, SHEILA",Hero,844,216,149,32184,0.026224210787969177
DANSEN MACABRE,Villain,2109,465,285,132525,0.015913978494623657
DANTE,Hero,1,1,1,1,1.0
"DANTES, DR. EDWINA",Hero,1,1,1,1,1.0
"DANVERS, JOE",Hero,4,3,2,6,0.6666666666666666
"DANVERS, MRS. JOE",Hero,3,2,2,4,0.75
"DANVILLE, SEN. OWEN",Hero,179,50,42,2100,0.08523809523809524
DARCO,Hero,434,153,95,14535,0.029858961128310973
"DARE, JOHNNY",Hero,32,14,10,140,0.22857142857142856
"DARE, KATHLEEN",Hero,2824,970,358,347260,0.008132235212808847
"DARE, ROSSALYN",Hero,56,37,13,481,0.11642411642411643
DAREDEVIL DOPPELGANG,Hero,3534,1269,435,552015,0.006401999945653651
DAREDEVIL | MUTANT X,Hero,89,30,29,870,0.10229885057471265
DAREDEVIL/MATT MURDO,Hero,13439,5586,695,3882270,0.0034616345591625517
DARGIL,Hero,324,113,80,9040,0.03584070796460177
DARIA,Hero,286,112,72,8064,0.03546626984126984
DARK,Hero,4,4,1,4,1.0
DARK BEAST/HENRY MCC,Villain,4586,1565,455,712075,0.006440332830109188
DARK COUNSEL/VARTU,Hero,7,7,1,7,1.0
DARK CRAWLER,Villain,607,310,123,38130,0.015919223708366115
DARK HUNTER,Hero,82,32,23,736,0.11141304347826086
DARK MASTER,Hero,7,5,2,10,0.7
DARK MOTHER/FINALITY,Hero,8,8,1,8,1.0
DARK ONE,Hero,1,1,1,1,1.0
DARK RAIDER,Hero,114,43,43,1849,0.06165494862087615
DARK WIND/KENJI OYAM,Hero,2083,748,332,248336,0.008387829392436054
DARKHAWK DOPPELGANGE,Hero,3380,1197,416,497952,0.006787802840434419
DARKHAWK/CHRIS POWEL,Hero,7500,2629,566,1488014,0.005040275158701464
DARKOTH/MAJOR DESMON,Villain,2076,661,271,179131,0.011589283820220956
"DARKOVER, PROFESSOR",Hero,1,1,1,1,1.0
DARKSTAR/LAYNIA SERG,Hero,8415,2989,592,1769488,0.00475561292306023
DARLA,Hero,3730,1242,419,520398,0.0071675909592273605
"DARLEGUNG, GEN.",Hero,1,1,1,1,1.0
"DARROW, MARISSA II",Hero,983,384,214,82176,0.011962130062305296
"DAVID, PETER",Hero,300,64,71,4544,0.06602112676056338
DAVIDOFF,Hero,1061,404,227,91708,0.011569328739041306
"DAVIS, ABBY",Hero,195,120,28,3360,0.05803571428571429
"DAVIS, PRINCIPAL",Hero,1570,578,194,112132,0.01400135554525024
DAWN,Hero,2,1,2,2,1.0
"DAWSON, DICTIONARY",Hero,870,270,171,46170,0.018843404808317088
DAY,Hero,1020,348,159,55332,0.01843417913684667
DAYDREAMER/CATHERINE,Hero,569,229,97,22213,0.025615630486651962
DAYTRIPPER/AMANDA SE,Hero,4056,1410,424,597840,0.006784423926134083
DAZZLER II/ALLISON B,Hero,9496,3364,611,2055404,0.004620016308229428
DAZZLER/BURTRAM WORT,Hero,1408,351,201,70551,0.01995719408654732
DE LA COURTE,Hero,304,93,98,9114,0.03335527759490893
"DE LA FONTAINE, CONT",Hero,8935,3258,603,1964574,0.00454805978293513
"DE LA JOYA, SISTER M",Hero,126,41,34,1394,0.09038737446197992
"DE LA SALLE, BEATRIC",Hero,1,1,1,1,1.0
"DE LA SPIROSA, COUNT",Hero,277,104,71,7384,0.03751354279523294
DEAD HEAD/,Hero,153,68,30,2040,0.075
DEAD RINGER/LOU,Hero,426,78,81,6318,0.06742640075973409
DEADAIR,Hero,115,30,47,1410,0.08156028368794327
DEADBOLT,Hero,627,204,100,20400,0.03073529411764706
DEADEYE/,Hero,870,270,171,46170,0.018843404808317088
DEADHEAD,Hero,732,202,99,19998,0.03660366036603661
DEADLY DORIS,Hero,1,1,1,1,1.0
DEADMAKER/GREGORI AN,Hero,1569,577,194,111938,0.014016687809323018
DEADPOOL/JACK/WADE W,Villain,4188,1300,458,595400,0.007033926771918038
"DEAN, BETTY",Hero,2,2,1,2,1.0
"DEAN, DARBY",Hero,986,386,215,82990,0.011880949511989397
"DEAN, SUSAN",Hero,986,386,215,82990,0.011880949511989397
"DEANGELO, DEVLIN",Hero,278,99,94,9306,0.029873200085966042
DEATH,Hero,7401,2743,573,1571739,0.004708797071269467
DEATH ADDER,Villain,4196,1474,423,623502,0.006729729816424005
DEATH STING/MIRANDA,Hero,161,24,41,984,0.16361788617886178
DEATH'S HEAD,Villain,85,38,19,722,0.11772853185595568
DEATH-STALKER,Villain,1585,613,285,174705,0.009072436392776394
DEATHBIRD [SHI'AR],Villain,5120,1780,489,870420,0.005882217779922336
DEATHCHARGE,Hero,1,1,1,1,1.0
DEATHCRY [SHI'AR],Hero,3102,1017,375,381375,0.008133726647000983
DEATHLOK II/COL. JOH,Villain,328,143,79,11297,0.02903425688235815
DEATHLOK III DOPPELG,Villain,110,40,36,1440,0.0763888888888889
DEATHLOK III/MICHAEL,Villain,5520,2019,489,987291,0.005591056740110059
DEATHLOK IV,Villain,556,202,100,20200,0.027524752475247525
DEATHLOK | MUTANT X-,Villain,85,29,28,812,0.10467980295566502
DEATHLOK/COLONEL LUT,Villain,1139,330,198,65340,0.01743189470462198
DEATHRAVEN/JOSHUA RA,Hero,6,5,2,10,0.6
DEATHSHIELD/,Hero,380,151,72,10872,0.03495217071376012
DEATHSTROKE/,Hero,798,227,128,29056,0.027464207048458148
DEATHTOLL,Villain,2,2,1,2,1.0
DEATHUNT 9000,Hero,1414,516,242,124872,0.01132359536165033
DEATHURGE,Villain,1645,500,193,96500,0.017046632124352333
DEATHWATCH/STEPHAN L,Villain,1011,366,151,55266,0.018293344913690154
DECAY II/YOSHIRO HAC,Villain,1888,683,231,157773,0.01196655955074696
DECAY/,Villain,691,150,126,18900,0.03656084656084656
DECIBEL,Hero,5,2,3,6,0.8333333333333334
DEFENSOR,Hero,3991,1411,421,594031,0.006718504589827804
"DEGANN, KRIS",Hero,1,1,1,1,1.0
DEIMOS,Hero,164,94,34,3196,0.05131414267834793
"DEKKER, GENERAL LYLE",Hero,3,3,1,3,1.0
"DEL HIERRO, BLANCA",Hero,80,29,43,1247,0.06415396952686447
"DELACORTE, ARTHUR",Hero,305,94,98,9212,0.03310898827616153
"DELANY, CAPT.",Hero,1118,292,198,57816,0.019337207693372077
"DELAZNY, CHARLES L.",Hero,1074,410,232,95120,0.011291000841042894
"DELAZNY, DORIAN",Hero,47,23,8,184,0.2554347826086957
DELGADO,Hero,1741,453,243,110079,0.01581591402538177
"DELGADO, FATHER",Hero,2034,727,267,194109,0.010478648594346475
"DELGADO, LUZ",Hero,23,13,7,91,0.25274725274725274
"DELGADO, RUFUS",Hero,1643,426,252,107352,0.015304791713242418
DELILAH,Hero,2350,827,241,199307,0.011790855313661839
DELPHI,Hero,362,131,99,12969,0.027912714935615698
DELPHI II,Hero,843,215,149,32035,0.026314968003745904
"DELPHIS, SIR",Hero,1144,240,201,48240,0.023714759535655057
DELPHOS,Hero,848,253,111,28083,0.030196204109247587
DELUGE,Villain,128,33,34,1122,0.1140819964349376
DELUGE II,Villain,216,82,60,4920,0.04390243902439024
DEMEITYR,Hero,2,2,1,2,1.0
DEMI-GOD,Hero,152,22,52,1144,0.13286713286713286
DEMITRIUS,Hero,3,2,2,4,0.75
DEMOGOBLIN,Villain,998,357,149,53193,0.01876186716297257
DEMOLITION MAN DOPPE,Hero,741,213,123,26199,0.028283522271842436
DEMOLITION MAN/DENNI,Hero,5592,1818,491,892638,0.006264577577920725
DEMON BEAR,Villain,19,9,8,72,0.2638888888888889
DEMONICUS/DR. DOUGLA,Hero,44,35,10,350,0.12571428571428572
DEMONSTAFF,Hero,178,71,61,4331,0.041099053336411916
DENAK,Hero,200,74,40,2960,0.06756756756756757
"DENNAGER, MICHAEL",Hero,349,130,81,10530,0.033143399810066476
"DENNEHY, ROBERT",Hero,743,248,122,30256,0.02455711263881544
"DENNIS, MARTY",Hero,2151,738,290,214020,0.010050462573591254
"DEPALMA, MR.",Hero,111,26,43,1118,0.09928443649373882
"DEPAUL, SHIELD SPECI",Hero,1443,522,270,140940,0.010238399318859089
DESADIA,Hero,3,3,1,3,1.0
DESAK/DESAK STERIXIA,Villain,443,129,89,11481,0.03858548906889644
DESIGNATE/TARENE,Hero,1632,549,241,132309,0.012334761807586785
DESOLATION/,Hero,1,1,1,1,1.0
"DESTINE, ADAM",Hero,2,2,1,2,1.0
"DESTINE, NEWTON",Hero,2,2,1,2,1.0
DESTINY II/IRENE ADL,Villain,4709,1569,466,731154,0.006440503642187556
DESTINY/PAUL DESTINE,Villain,204,59,57,3363,0.060660124888492414
DESTRAK,Hero,4,4,1,4,1.0
DESTROYER III,Villain,1892,678,248,168144,0.01125225996764678
DESTRUCTOR/PROFESSOR,Hero,2104,699,245,171255,0.01228577267816998
DETHSTRYK,Hero,1,1,1,1,1.0
DEUCE,Hero,363,139,85,11815,0.03072365636902243
"DEUTSCH, GEN.",Hero,3,3,1,3,1.0
DEVASTATOR II/GREGOR,Hero,71,34,22,748,0.09491978609625669
DEVASTATOR/KIROV PET,Hero,1,1,1,1,1.0
"DEVERAUX, INSPECTOR",Hero,930,244,158,38552,0.024123262087570034
"DEVEREAUX, IRIS",Hero,296,84,62,5208,0.05683563748079877
"DEVEREAUX, MICHELLE",Hero,957,236,159,37524,0.025503677646306365
DEVIL DINOSAUR,Hero,1923,682,245,167090,0.011508767729965886
DEVIL DINOSAUR | MUT,Hero,88,30,29,870,0.10114942528735632
DEVIL-SLAYER/ERIC SI,Hero,2994,1098,370,406260,0.007369664746713927
"DEVILLE, ARCADIA",Hero,11,8,3,24,0.4583333333333333
"DEVILLE, JENNIFER CR",Hero,1569,577,194,111938,0.014016687809323018
"DEVINE, ANTON",Hero,1614,422,223,94106,0.01715087242046203
DEVLOR,Hero,2254,743,289,214727,0.010497049742230832
"DEVOOR, ALBERT",Hero,187,65,82,5330,0.0350844277673546
DEVOS THE DEVESTATOR,Villain,3384,1231,413,508403,0.006656136962213048
DEVOURER,Hero,866,291,145,42195,0.020523758739187107
"DEWITT, KEARSON",Villain,488,192,109,20928,0.023318042813455658
"DEWITT, LUCIUS",Hero,1,1,1,1,1.0
"DEWOLFF, JEAN",Hero,4712,1625,411,667875,0.007055212427475201
"DEWOLFF, MEREDITH",Hero,147,46,30,1380,0.10652173913043478
DEX,Hero,7,4,2,8,0.875
DEXAM,Hero,17,6,8,48,0.3541666666666667
"DEZOAN, JOHN",Hero,36,13,9,117,0.3076923076923077
DHEREK,Hero,30,11,14,154,0.19480519480519481
DIABLO/ESTEBAN DE AB,Villain,6058,2197,507,1113879,0.005438651774564382
DIAMOND HEAD,Hero,1,1,1,1,1.0
DIAMOND LIL/LILLIAN,Hero,3253,1221,386,471306,0.006902097575672705
"DIAMOND, BOB",Hero,1414,467,226,105542,0.013397509996020542
"DIAMOND, CHUCKY",Hero,26,9,8,72,0.3611111111111111
"DIAMOND, KATHY",Hero,7,4,4,16,0.4375
DIAMONDBACK,Villain,2,2,1,2,1.0
DIAMONDBACK II/RACHE,Villain,6441,2204,546,1203384,0.00535240621447518
"DIAMONDE, YVETTE",Hero,187,65,82,5330,0.0350844277673546
DIAMONDHEAD/DYKER,Villain,251,128,53,6784,0.03699882075471698
"DIBBS, LIONEL",Hero,714,189,92,17388,0.04106280193236715
DIBDEB,Hero,139,57,41,2337,0.05947796320068464
DICE/ROB FORTUNE,Hero,133,52,38,1976,0.0673076923076923
"DICHINSON, RICKY",Hero,1,1,1,1,1.0
DIE'ODE/,Hero,1,1,1,1,1.0
"DIEGO, MANUEL",Hero,1144,373,201,74973,0.01525882651087725
"DIETZ, SUSAN",Hero,382,102,73,7446,0.051302712865968304
DIGGER,Hero,240,51,79,4029,0.05956813104988831
DIGGER II/,Hero,461,169,129,21801,0.02114581899912848
"DILLON, ANITA",Hero,296,69,86,5934,0.04988203572632288
"DILLON, BERNIE",Hero,572,184,102,18768,0.030477408354646206
"DILLON, JONATHAN",Hero,296,69,86,5934,0.04988203572632288
DINAH-SOAR,Hero,1879,552,258,142416,0.013193742276148748
DINU,Hero,737,196,94,18424,0.04000217108119844
DIONYSUS [GREEK GOD],Hero,1171,459,243,111537,0.010498758259590988
"DIPALMA, JOHNNY",Hero,1708,623,215,133945,0.012751502482362164
DIRECTOR X,Hero,1,1,1,1,1.0
DIRGE/,Hero,1,1,1,1,1.0
"DIRKSON, GUS",Hero,853,165,150,24750,0.03446464646464646
DIRT NAP,Hero,109,58,22,1276,0.08542319749216301
DIRTY WOLFF,Hero,664,171,148,25308,0.026236763078868342
DISCUS,Hero,1320,322,227,73094,0.018058937806112677
DISPROSIUM,Hero,1458,311,200,62200,0.023440514469453375
DISTORTER,Hero,1,1,1,1,1.0
DIVINITY,Hero,875,273,171,46683,0.018743439796071376
"DIXON, GENERAL",Hero,43,20,8,160,0.26875
DIZZIE,Hero,1,1,1,1,1.0
DMITRI,Hero,282,99,77,7623,0.03699330972058245
DOC,Hero,125,81,21,1701,0.07348618459729571
DOC SAMSON | MUTANT,Hero,86,29,29,841,0.10225921521997622
DOC SAMSON/DR. LEONA,Hero,7809,2859,567,1621053,0.004817239164913177
"DOCKERY, RUPERT",Hero,25,13,9,117,0.21367521367521367
DOCTOR DREDD,Hero,73,31,27,837,0.08721624850657109
