,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
750,BRUTUS KLOR,Hero,1116,na,122,7381.0,0.15119902452242243
751,"BRYCE, ARCHER",Hero,1968,na,194,18721.0,0.10512258960525613
752,"BUCHANAN, SAM",Hero,713,na,79,3081.0,0.231418370658877
753,"BUCHETTO, SALVATORE",Hero,1376,na,138,9453.0,0.14556225536866604
754,"BUCHOVITZ, STANLEY &",Hero,1645,na,132,8646.0,0.1902613925514689
755,"BUCKMAN, EDWARD",Hero,283,na,42,861.0,0.32868757259001163
756,"BUCKNER, GRANT",Hero,2070,na,201,20100.0,0.10298507462686567
757,BUCKY/BUCKY BARNES,Hero,4491,na,383,73153.0,0.06139187729826528
758,BUCKY II/FRED DAVIS,Hero,3384,na,246,30135.0,0.11229467396714783
759,BUCKY VI/,Hero,2194,na,196,19110.0,0.11480900052328624
760,BUCKY VII/RIKKI BARN,Hero,3765,na,284,40186.0,0.09368934454785248
761,BUEL,Hero,1968,na,194,18721.0,0.10512258960525613
762,BUG,Hero,54,na,20,190.0,0.28421052631578947
763,"BUKOWSKI, BUCK",Hero,2011,na,200,19900.0,0.10105527638190955
764,BULLDOZER/HENRY CAMP,Hero,6432,na,564,158766.0,0.040512452288273305
765,BULLET BIKER,Hero,724,na,70,2415.0,0.29979296066252586
766,BULLET,Villain,4279,na,364,66066.0,0.06476856476856477
767,BULL,Hero,0,na,1,0.0,
768,BULLSEYE II/BENJAMIN,Villain,5410,na,448,100128.0,0.05403084052412911
769,BULLSEYE | MUTANT X-,Villain,102,na,28,378.0,0.2698412698412698
770,BULLSEYE,Villain,0,na,1,0.0,
771,BULWARK/,Hero,24,na,10,45.0,0.5333333333333333
772,BUMPKIN,Hero,500,na,73,2628.0,0.1902587519025875
773,"BUMPO, MR.",Hero,6,na,4,6.0,1.0
774,"BUNYAN, PAUL",Hero,2385,na,214,22791.0,0.10464657101487429
775,"BURGOS, CARL",Hero,1211,na,103,5253.0,0.23053493241956977
776,BURKE,Hero,825,na,112,6216.0,0.13272200772200773
777,"BURKE, GWYNETH",Hero,1,na,2,1.0,1.0
778,"BURKE, JACK",Hero,1,na,2,1.0,1.0
779,"BURKE, JOB",Hero,1,na,2,1.0,1.0
780,"BURKE, RICKY",Hero,310,na,62,1891.0,0.16393442622950818
781,"BURKE, THERESA TRACY",Hero,4434,na,374,69751.0,0.06356898108987685
782,"BURLEY, MIKE",Hero,893,na,102,5151.0,0.17336439526305572
783,"BURLINGAME, CALVIN",Hero,1659,na,127,8001.0,0.2073490813648294
784,BURNING PUDDLE,Hero,1,na,2,1.0,1.0
785,"BURR, CLAYTON",Hero,318,na,55,1485.0,0.21414141414141413
786,"BURRTHROP, T. BARTON",Hero,2145,na,152,11476.0,0.18691181596375045
787,BURST/,Hero,492,na,65,2080.0,0.23653846153846153
788,"BUSH, GEORGE",Hero,4465,na,372,69006.0,0.06470451844767122
789,"BUSHKIN, BARNEY",Hero,4140,na,335,55945.0,0.07400125122888551
790,"BUSHMAN, RAOUL",Hero,2,na,3,3.0,0.6666666666666666
791,BUSHMASTER II/QUINCY,Villain,5208,na,402,80601.0,0.06461458294562102
792,BUSHMASTER/JOHN MCIV,Villain,349,na,42,861.0,0.40534262485482
793,BUSHWACKER/CARL,Villain,4195,na,364,66066.0,0.0634971089516544
794,"BUSIEK, KURT",Hero,834,na,71,2485.0,0.3356136820925553
795,BUTCH,Hero,5405,na,454,102831.0,0.05256197061197499
796,BUTTERFLY,Hero,564,na,61,1830.0,0.3081967213114754
797,BUTTONS,Hero,44,na,18,153.0,0.2875816993464052
798,BUX,Hero,2299,na,219,23871.0,0.09630932931171715
799,BUZZARD,Hero,347,na,49,1176.0,0.2950680272108844
