,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
679,BRAHMANES,Hero,1,1,1,1,1.0
680,BRAIN CELL/,Hero,2,1,2,2,1.0
681,BRAIN DRAIN/WERNER S,Hero,12,5,8,40,0.3
682,BRAINCHILD,Villain,88,13,22,286,0.3076923076923077
683,BRAINSTORM/,Hero,4,3,2,6,0.6666666666666666
684,BRAINY,Hero,4,4,1,4,1.0
685,"BRAITHWAITE, JUDGE R",Hero,6,2,5,10,0.6
686,BRAMER,Hero,12,4,5,20,0.6
687,"BRANDEIS, CAMMY",Hero,3,3,1,3,1.0
688,"BRANDEIS, LIZ PARRIS",Hero,1,1,1,1,1.0
689,"BRANDEIS, PROF. HENR",Hero,1,1,1,1,1.0
690,"BRANDT, ELLEN",Villain,11,11,1,11,1.0
691,BRANNEX,Hero,1,1,1,1,1.0
692,"BRANNEX, ALLESSANDRO",Hero,8,1,8,8,1.0
693,BRANSON,Hero,6,3,2,6,1.0
694,BRASS BISHOP/,Villain,4,3,2,6,0.6666666666666666
695,BRASS/SEAN WATANABE,Hero,7,5,2,10,0.7
696,BRAWLER,Hero,1,1,1,1,1.0
697,"BRAWN, HUNTER",Hero,2,2,1,2,1.0
698,"BRAWN, TRISTAN",Hero,9,5,5,25,0.36
699,BREAKER/RAAK,Hero,4,2,2,4,1.0
700,BREEGAN,Hero,6,3,2,6,1.0
701,BRES,Hero,4,3,2,6,0.6666666666666666
702,"BREWER, AMY",Villain,3,2,2,4,0.75
703,"BREWER, DR. MELINDA",Hero,6,4,2,8,0.75
704,"BRICKFORD, CLAY",Hero,7,3,5,15,0.4666666666666667
705,"BRICKMAN, GLORIA",Hero,8,2,6,12,0.6666666666666666
706,"BRICKMAN, SEN. MILES",Hero,22,8,9,72,0.3055555555555556
707,"BRIDGE, GEORGE WASHI",Hero,157,48,42,2016,0.07787698412698413
708,"BRIGGS, AGENT",Hero,2,2,1,2,1.0
709,"BRIGGS, AGENT STEPHA",Hero,10,5,4,20,0.5
710,BRIGHTSWORD/CARTER D,Hero,19,11,9,99,0.1919191919191919
711,BRIGHTWIND,Hero,79,26,30,780,0.10128205128205128
712,"BRINKE, NIOMI",Hero,3,2,2,4,0.75
713,BRIQUETTE/,Hero,2,2,1,2,1.0
714,BROADSIDE,Hero,4,2,3,6,0.6666666666666666
715,"BROGIN, BULL",Hero,8,3,6,18,0.4444444444444444
716,BROKEN MAN,Hero,4,4,1,4,1.0
717,BROKER,Hero,2,2,1,2,1.0
718,BROMINE,Hero,7,1,7,7,1.0
719,"BROMWELL, DR.",Hero,62,15,19,285,0.21754385964912282
720,BRONA,Hero,16,8,8,64,0.25
721,"BROOKS, ANNA",Hero,5,4,2,8,0.625
722,BROOP,Hero,7,2,5,10,0.7
723,BROTHER AXE,Hero,1,1,1,1,1.0
724,BROTHER CAESAR,Hero,2,1,2,2,1.0
725,BROTHER ROYAL,Hero,6,2,5,10,0.6
726,BROTHER STEPHEN,Hero,1,1,1,1,1.0
727,BROTHER TODE,Villain,11,7,5,35,0.3142857142857143
728,BROTHER VIRGIL,Hero,3,2,2,4,0.75
729,BROTHER VOODOO | MUT,Hero,11,1,11,11,1.0
730,BROTHER VOODOO/DANIE,Hero,67,37,23,851,0.07873090481786134
731,BROTHER WONDERFUL/DR,Hero,8,5,4,20,0.4
732,BROTHERS GRIMM,Villain,6,5,2,10,0.6
733,BROTHERS GRIMM II/BA,Villain,89,18,34,612,0.1454248366013072
734,"BROWN, ABE",Hero,43,32,10,320,0.134375
735,"BROWN, FRANK",Hero,7,2,6,12,0.5833333333333334
736,"BROWN, LAURA",Hero,61,27,11,297,0.2053872053872054
737,"BROWN, MINDY MCPHERS",Hero,43,11,15,165,0.2606060606060606
738,BROWSER,Hero,3,1,3,3,1.0
