hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
AMERICAN SAMURAI/,Hero,51010,na,1034,534061,0.095513434
AMERICOP/,Villain,98171,na,2092,2187186,0.044884614
AMIKO,Hero,97066,na,2132,2271646,0.042729369
AMINEDI,Hero,32656,na,578,166753,0.195834558
AMPERE/,Hero,83177,na,1563,1220703,0.068138605
AMPHARON,Hero,96761,na,2272,2579856,0.037506357
AMPHIBIAN/KINGLEY RI,Hero,137422,na,3779,7138531,0.019250739
AMPHIBIUS,Villain,154984,na,4745,11255140,0.013770064
ANACONDA/BLANCHE SIT,Villain,154935,na,4747,11264631,0.013754112
ANAIS,Hero,74932,na,1470,1079715,0.069399795
ANAK,Hero,118247,na,2810,3946645,0.029961398
ANALYZER,Hero,142387,na,3992,7966036,0.01787426
"ANAMI, HIROSHI",Hero,102512,na,2277,2591226,0.039561196
ANANASTASIA/ANNA,Hero,3719,na,210,21945,0.169469127
ANARCHIST/TIKE ALICA,Hero,88011,na,1829,1671706,0.052647415
ANCESTOR/,Hero,95152,na,2003,2005003,0.047457286
ANCIENT ONE,Hero,153555,na,4757,11312146,0.013574347
ANCIENT ONE/BARON MO,Hero,41081,na,785,307720,0.133501235
"ANDERS, JOSHUA RICHI",Hero,98086,na,2160,2331720,0.042065943
"ANDERSON, BAXTER",Hero,81074,na,1816,1648020,0.049194791
"ANDERSON, CHARLES",Hero,100676,na,2423,2934253,0.034310606
"ANDERSON, CHET",Hero,94622,na,2039,2077741,0.045540806
"ANDERSON, CHIEF MAGI",Hero,133543,na,3541,6267570,0.021306982
"ANDERSON, GINA",Hero,98138,na,2052,2104326,0.04663631
"ANDERSON, MARJORIE",Hero,94622,na,2039,2077741,0.045540806
"ANDERSON, NICKY",Hero,94622,na,2039,2077741,0.045540806
"ANDERSSEN, TANYA",Hero,146145,na,4190,8775955,0.016652888
"ANDREWS, DARYL TROOP",Hero,105764,na,2483,3081403,0.034323326
ANDROMEDA/ANDROMEDA,Hero,156625,na,5033,12663028,0.012368685
ANDROS,Hero,83263,na,1956,1911990,0.043547822
ANDWELLA,Hero,90681,na,1892,1788886,0.050691324
ANELLE,Hero,134817,na,3593,6453028,0.020892053
ANGAR THE SCREAMER/D,Hero,146640,na,4429,9805806,0.014954406
ANGEL 2013,Hero,33155,na,553,152628,0.217227507
ANGEL DOPPELGANGER,Villain,154694,na,4809,11560836,0.013380866
ANGEL III/HALLOWAY,Hero,112428,na,2675,3576475,0.031435422
ANGEL II/THOMAS HALL,Hero,11681,na,294,43071,0.271203362
ANGEL IV,Hero,122733,na,3224,5195476,0.023623052
