hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
AMENHOTEP,Hero,109135,1173,1793,2103189,0.051890249
AMERICAN EAGLE II/JA,Hero,175029,4066,3476,14133416,0.012384055
AMERICAN EAGLE III/J,Hero,244367,9635,5473,52732355,0.0046341
AMERICAN SAMURAI/,Hero,56897,654,1034,676236,0.084137786
AMERICOP/,Villain,117784,1592,2092,3330464,0.035365643
AMIKO,Hero,117992,1682,2132,3586024,0.032903293
AMINEDI,Hero,34838,126,578,72828,0.478359971
AMPERE/,Hero,96139,775,1563,1211325,0.079366809
AMPHARON,Hero,117532,2176,2272,4943872,0.023773269
AMPHIBIAN/KINGLEY RI,Hero,185217,5001,3779,18898779,0.009800474
AMPHIBIUS,Villain,220609,6690,4745,31744050,0.006949617
ANACONDA/BLANCHE SIT,Villain,220625,6952,4747,33001144,0.006685374
ANAIS,Hero,87863,856,1470,1258320,0.069825641
ANAK,Hero,151904,3176,2810,8924560,0.017020895
ANALYZER,Hero,197150,5456,3992,21780352,0.009051736
"ANAMI, HIROSHI",Hero,125176,1967,2277,4478859,0.027948189
ANANASTASIA/ANNA,Hero,4329,67,210,14070,0.307675906
ANARCHIST/TIKE ALICA,Hero,105785,1308,1829,2392332,0.044218361
ANCESTOR/,Hero,114206,1571,2003,3146713,0.036293745
ANCIENT ONE,Hero,220138,7242,4757,34450194,0.006390037
ANCIENT ONE/BARON MO,Hero,45776,261,785,204885,0.223422896
"ANDERS, JOSHUA RICHI",Hero,119020,1848,2160,3991680,0.029817019
"ANDERSON, BAXTER",Hero,96885,1616,1816,2934656,0.033014091
"ANDERSON, CHARLES",Hero,123320,2346,2423,5684358,0.021694622
"ANDERSON, CHET",Hero,114147,1655,2039,3374545,0.033825894
"ANDERSON, CHIEF MAGI",Hero,175335,3756,3541,13299996,0.013183087
"ANDERSON, GINA",Hero,117741,1353,2052,2776356,0.042408466
"ANDERSON, MARJORIE",Hero,114147,1655,2039,3374545,0.033825894
"ANDERSON, NICKY",Hero,114147,1655,2039,3374545,0.033825894
"ANDERSSEN, TANYA",Hero,198242,4877,4190,20434630,0.009701277
"ANDREWS, DARYL TROOP",Hero,129253,2287,2483,5678621,0.022761336
ANDROMEDA/ANDROMEDA,Hero,227379,7919,5033,39856327,0.005704966
ANDROS,Hero,100080,1756,1956,3434736,0.029137611
ANDWELLA,Hero,105313,1140,1892,2156880,0.048826546
ANELLE,Hero,179672,4498,3593,16161314,0.011117413
ANGAR THE SCREAMER/D,Hero,205163,6718,4429,29754022,0.006895303
ANGEL 2013,Hero,35164,122,553,67466,0.521210684
ANGEL DOPPELGANGER,Villain,219716,6948,4809,33412932,0.006575777
ANGEL II/THOMAS HALL,Hero,12925,122,294,35868,0.360349058
ANGEL III/HALLOWAY,Hero,140554,2631,2675,7037925,0.019970943
ANGEL IV,Hero,157214,3610,3224,11638640,0.013507936
ANGEL/WARREN KENNETH,Hero,264730,11830,6276,74245080,0.003565623
"ANGELOPOULOS, ANGEL",Hero,36484,249,645,160605,0.227166028
ANGKOR,Villain,66182,397,1050,416850,0.158766943
ANGLER,Hero,167182,3735,3270,12213450,0.013688352
"ANGSTROM, EARL",Hero,52922,503,1032,519096,0.101950314
ANIELLE,Hero,33702,197,618,121746,0.276822236
ANIMATOR II/,Villain,83692,1153,1478,1704134,0.049111161
ANIMATOR/DR. FREDRIC,Villain,96026,1047,1648,1725456,0.055652535
ANIMUS,Hero,66140,854,1093,933422,0.070857554
ANNALEE,Villain,145489,2486,2732,6791752,0.021421424
ANNIHILUS,Villain,227197,8150,4993,40692950,0.005583203
ANOMALY,Hero,120806,1579,2175,3434325,0.035176054
ANOMALY III,Hero,59976,294,970,285180,0.210309278
"ANON, LORD",Hero,108294,1180,1868,2204240,0.049129859
ANSWER,Villain,114028,2038,2216,4516208,0.025248616
ANSWER II/DAVID FERR,Villain,125057,1738,2322,4035636,0.030988176
ANT-MAN II/SCOTT HAR,Hero,259207,10945,6029,65987405,0.003928128
ANT-MAN/DR. HENRY J.,Hero,264557,11742,6258,73481436,0.003600324
ANTEUS,Hero,129116,2008,2370,4758960,0.027131138
ANTHROMORPHO,Hero,209541,5608,4430,24843440,0.00843446
ANTI-PHOENIX,Hero,67902,722,1127,813694,0.083449061
ANTI-VISION,Hero,101083,1097,1671,1833087,0.055143591
ANTIBODY,Hero,64987,404,1048,423392,0.153491327
ANTIQUARY/,Hero,62627,638,1131,721578,0.086791726
"ANTOINETTE, MARIE",Hero,168119,3707,3234,11988438,0.014023428
ANTORO,Hero,138225,3023,2714,8204422,0.016847622
ANTRO,Hero,177087,3905,3534,13800270,0.01283214
"ANUBAR, ANWAR",Hero,97092,1218,1707,2079126,0.046698468
ANUBIA,Hero,32992,306,698,213588,0.154465607
ANVIL/JOHNNY ANVIL,Hero,147736,3143,2862,8995266,0.01642375
APE MAN II/ROY MCVEY,Villain,152149,2610,2913,7602930,0.02001189
APE MAN/GORDON MONK,Villain,229107,7489,4962,37160418,0.00616535
APE-X/XINA,Hero,18274,73,344,25112,0.727699904
APE/,Villain,147891,2488,2840,7065920,0.020930183
APOCALYPSE | MUTANT,Villain,47098,275,800,220000,0.214081818
APOCALYPSE/EN SABAH,Villain,246936,8976,5595,50220720,0.004917014
APOCRYPHUS,Hero,182941,5012,3652,18303824,0.009994687
APOLLO [GREEK GOD],Hero,177836,4021,3492,14041332,0.01266518
APOSTATE,Hero,106544,1378,1897,2614066,0.040757961
APPALLA,Hero,68577,785,1202,943570,0.072678233
"APPLEBAUM, PHANTASY",Hero,101194,1714,1918,3287452,0.030781894
AQUARIAN/WUNDARR,Hero,240028,9117,5266,48010122,0.004999529
AQUARIUS II/,Villain,129784,2277,2507,5708439,0.022735462
AQUARIUS III/,Villain,43613,262,705,184710,0.236116074
AQUARIUS/DARREN BENT,Villain,171400,4382,3468,15196776,0.011278708
ARABIAN KNIGHT/ABDUL,Hero,251141,10278,5730,58892940,0.004264365
ARACHNE,Hero,177087,3905,3534,13800270,0.01283214
ARAGORN,Hero,226950,7588,4980,37788240,0.006005837
ARAKI II,Hero,130924,1760,2346,4128960,0.031708711
ARAKI [SHI'AR],Hero,208695,5844,4490,26239560,0.007953449
"ARBOGAST, BAMBI",Hero,227214,8141,4946,40265386,0.005642911
ARCADE/,Villain,204971,5530,4390,24276700,0.008443116
ARCADIUS,Hero,158676,3345,2960,9901200,0.016025936
ARCANNA/ARCANNA JONE,Hero,226030,7696,4940,38018240,0.005945304
ARCHAEOPTERYX/TONAJA,Hero,113400,1535,2034,3122190,0.03632066
"ARCHER, ULYSSES SAMS",Hero,104093,1308,1789,2340012,0.04448396
ARCHER/JUDE BLACK,Hero,96846,1010,1655,1671550,0.057937842
ARCLIGHT/PHILLIPA SO,Villain,201814,4844,4161,20155884,0.010012659
ARCTURUS,Hero,104405,1400,1872,2620800,0.039837073
ARES [GREEK GOD],Villain,209852,6259,4368,27339312,0.007675833
AREX,Hero,129704,2008,2365,4748920,0.027312315
ARGOS,Hero,47453,456,893,407208,0.116532583
"ARGOSY, HERVE",Hero,4317,29,144,4176,1.033764368
ARIA,Hero,168017,3288,3262,10725456,0.015665255
ARIANE,Hero,11392,92,254,23368,0.487504279
ARIDES,Hero,117593,1410,2008,2831280,0.041533511
ARIEL II,Hero,151225,2470,2777,6859190,0.022047064
ARIES II/GROVER RAYM,Hero,161134,3732,3147,11744604,0.013719833
ARIES III/,Hero,43613,262,705,184710,0.236116074
ARIES/MARCUS LASSITE,Hero,200027,6219,4187,26038953,0.007681837
ARISHEM [CELESTIAL],Hero,238086,8573,5186,44459578,0.005355112
ARIZE,Hero,156633,2804,3110,8720440,0.017961594
"ARKANIAN, GLIB",Hero,56763,368,912,335616,0.169130792
ARKO,Hero,78824,963,1270,1223010,0.064450822
ARKON,Hero,219339,7037,4646,32693902,0.006708866
"ARLINGTON, DR. MARCU",Hero,107190,1801,2031,3657831,0.029304252
ARLISSE,Hero,104722,1283,1835,2354305,0.044481068
ARMADA,Hero,130186,1927,2418,4659486,0.027939992
ARMADA II/,Hero,99872,1748,1946,3401608,0.029360232
ARMADILLO/ANTONIO RO,Hero,192596,5165,4019,20758135,0.009278097
ARMAGEDDON,Hero,81527,1229,1457,1790653,0.045529201
ARMAGEDDON MAN,Hero,48569,445,908,404060,0.120202445
ARMAND,Hero,6295,159,176,27984,0.224949971
ARMAROS,Hero,15947,300,488,146400,0.108927596
ARMAZIEL,Hero,26875,231,464,107184,0.25073705
"ARMBRUSTER, COLONEL",Hero,157592,3043,3068,9335924,0.016880172
ARMS MERCHANT/ANDREA,Hero,117231,1709,2127,3635043,0.032250237
"ARMSTRONG, ?",Hero,15917,230,431,99130,0.160566932
"ARMSTRONG, MYRA",Hero,151160,2716,2896,7865536,0.019218016
ARNSTROM,Hero,157771,2789,3048,8500872,0.01855939
ARON [WATCHER],Hero,228696,7673,5031,38602863,0.005924327
ARRANGER/,Hero,174342,4096,3608,14778368,0.011797108
ARROW,Hero,70519,614,1194,733116,0.09619078
ARSENAL,Hero,178798,4435,3540,15699900,0.01138848
ARSENAL II,Hero,25741,188,450,84600,0.304267139
ARSENIC,Hero,162158,2776,3080,8550080,0.01896567
ARTEMIS,Hero,148940,2876,2758,7932008,0.018777086
ARVAK,Hero,36007,247,634,156598,0.229932694
ARYAN,Villain,135201,2062,2533,5223046,0.02588547
ASANO,Hero,106523,1426,1834,2615284,0.040730949
"ASBERY, SHAMARI",Hero,109919,1217,1960,2385320,0.046081448
ASBESTOS LADY,Hero,123651,1765,2204,3890060,0.031786399
"ASH, BRANDY",Hero,93337,1201,1727,2074127,0.04500062
ASHEMA [CELESTIAL],Hero,203274,6834,4281,29256354,0.006948029
"ASHER, CARL",Hero,49,2,9,18,2.722222222
"ASHER, DONNA",Hero,49,2,9,18,2.722222222
"ASHER, MICHAEL",Hero,49,2,9,18,2.722222222
ASHUR,Hero,114420,1537,2021,3106277,0.036835092
ASKANI,Hero,174406,3480,3429,11932920,0.014615534
ASMODEUS,Hero,102836,1647,1860,3063420,0.033569018
ASP II/CLEO,Hero,214852,6216,4517,28077672,0.007652059
ASSAULT/,Hero,72010,703,1421,998963,0.072084752
ASTARTE,Hero,44735,416,833,346528,0.129094907
"ASTER, LUCIAN",Hero,141785,3082,2814,8672748,0.016348336
ASTRA,Hero,198474,5168,4095,21162960,0.009378367
ASTRA II,Hero,123621,1830,2225,4071750,0.030360656
ASTROLOGER/,Hero,89124,889,1562,1388618,0.064181798
ASTRONOMER,Hero,120315,1816,2249,4084184,0.029458761
"ASTROVIK, ARNOLD",Hero,74971,738,1423,1050174,0.071389122
"ASTROVIK, NORMA",Hero,200124,5760,4141,23852160,0.008390184
