,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
476,BEVATRON/,Hero,9642,831,1567,1302177,0.0074045233482084236
477,"BEYNON, DR. BRADLEY",Hero,31965,2696,2873,7745608,0.004126854857617375
478,BEYONDER,Villain,86427,9900,5746,56885400,0.001519317786286112
479,BEYONDER | MUTANT X-,Villain,4695,261,785,204885,0.022915293945383997
480,BI-BEAST,Villain,8859,877,1168,1024336,0.008648529388794303
481,BI-BEAST II,Villain,39588,4168,3372,14054496,0.0028167498855882133
482,BIANDU,Hero,641,72,178,12816,0.05001560549313358
483,BIG BEN/,Hero,16539,1883,2080,3916640,0.004222752154908289
484,BIG BERTHA/ASHLEY CR,Hero,41592,4140,3505,14510700,0.0028662986623663915
485,BIG CASINO/,Hero,26140,2111,2472,5218392,0.00500920590097486
486,BIG MAN/FREDERICK FO,Villain,56875,6353,4154,26390362,0.002155142851015079
487,BIG ONE/KENJIRO SASA,Hero,28184,2498,2660,6644680,0.004241588759729588
488,"BIGGERS, MELVIN",Hero,17196,1117,1974,2204958,0.007798788004125249
489,BILE/,Hero,53635,5166,4057,20958462,0.002559109537713216
490,"BILLUPS, AGENT",Hero,28581,2612,2699,7049788,0.004054164465654854
491,BINARY | MUTANT X-VE,Hero,4695,261,785,204885,0.022915293945383997
492,BINARY/CAROL DANVERS,Hero,90857,10912,6112,66694144,0.0013622935171039904
493,BIOHAZARD,Villain,4850,504,1032,520128,0.00932462778393011
494,BIOHAZARD II/FLETCHE,Villain,10203,702,1455,1021410,0.00998913266954504
495,BIRD MAN III/,Hero,32097,2830,3028,8569240,0.0037456063781618905
496,BIRD MAN/HENRY HAWK,Hero,58204,5881,4418,25982258,0.002240144024433904
497,"BIRD, TUESDAY",Hero,11541,736,1438,1058368,0.010904524702182984
498,BIRDBRAIN,Hero,12579,837,1424,1191888,0.010553843985340905
499,BIRDY,Hero,22117,1734,2220,3849480,0.005745451333686628
500,BISHOP /,Hero,84489,9662,5802,56058924,0.00150714630198753
501,BISON/BILLY KITSON,Hero,38366,3223,3400,10958200,0.003501122447117227
502,BITMAP/,Hero,34286,3207,3207,10284849,0.0033336415537068165
503,BIZEN,Hero,742,90,298,26820,0.02766592095451156
504,BLACK AVENGER/JERRY,Hero,17583,1362,1932,2631384,0.006682035005153182
505,BLACK BOLT | MUTANT,Villain,4695,261,785,204885,0.022915293945383997
506,BLACK BOLT/BLACKANTO,Villain,90847,11192,6025,67431800,0.0013472426955827962
507,BLACK BRIGADE,Villain,36116,3534,3161,11170974,0.003233021578959901
508,BLACK CAT/FELICIA HA,Villain,85151,9810,5811,57005910,0.001493722317563214
509,BLACK CRANE/,Hero,18371,1415,1934,2736610,0.006713050087517038
510,BLACK CROW/JESSE BLA,Hero,61207,6562,4522,29673364,0.002062691644937864
511,BLACK DEATH/DR. IVAN,Villain,19251,1315,1946,2558990,0.007522889890151974
512,BLACK FOX II/,Hero,43421,4346,3520,15297920,0.0028383597247207465
513,BLACK FOX/ROBERT W.,Hero,42304,4441,3426,15214866,0.002780438552662902
514,BLACK GOLIATH/DR. WI,Hero,82726,9513,5510,52416630,0.0015782395777828525
515,BLACK HOLE/MORTON KI,Villain,6950,488,1117,545096,0.012750047698020165
516,BLACK KING/SEBASTIAN,Hero,80691,9070,5610,50882700,0.0015858238654788367
517,BLACK KNIGHT II/SIR,Hero,47993,5012,3652,18303824,0.0026220204040423465
518,BLACK KNIGHT III/EOB,Hero,53191,5733,4000,22932000,0.002319509855224141
519,BLACK KNIGHT IV DOPP,Hero,69996,7286,4990,36357140,0.0019252339430439248
520,BLACK KNIGHT IV/PROF,Hero,76963,8680,5215,45266200,0.0017002310774926989
521,BLACK KNIGHT V DOPPE,Hero,75614,8264,5338,44113232,0.0017140888702056561
522,BLACK KNIGHT V STATU,Hero,53743,5717,4157,23765569,0.0022613807395059633
523,BLACK KNIGHT V/DANE,Hero,92803,11506,6190,71222140,0.0013030077445019203
524,BLACK KNIGHT VI/PROF,Hero,3463,270,668,180360,0.019200487913062763
525,BLACK KNIGHT/SIR PER,Hero,53127,6115,4085,24979775,0.0021268005816705714
526,BLACK LAMA,Hero,26868,2360,2489,5874040,0.004574024010731966
527,BLACK MAMBA/TANYA SE,Villain,65399,6843,4717,32278431,0.002026089805914048
528,BLACK MARIAH,Villain,4700,511,901,460411,0.010208270436631618
529,BLACK MARVEL/DAN LYO,Hero,17604,1364,1934,2637976,0.006673298013325368
530,BLACK MORAY,Hero,6810,568,1065,604920,0.011257686966871653
531,BLACK MOUNTAIN/KUROY,Hero,11528,857,1432,1227224,0.009393558144234468
532,BLACK PANTHER | MUTA,Hero,4695,261,785,204885,0.022915293945383997
533,BLACK PANTHER/T'CHAL,Hero,93145,11700,6224,72820800,0.001279098828906027
534,BLACK RAAZER/,Hero,2182,126,578,72828,0.029961004009446915
535,BLACK RACER/,Hero,58050,5727,4334,24820818,0.002338762566165225
536,BLACK RAZER,Hero,2581,158,461,72838,0.03543480051621407
537,BLACK SPECTRE/CARSON,Hero,1867,189,450,85050,0.021951793062904176
538,BLACK TALON II/SAMUE,Villain,41750,3940,3519,13864860,0.0030112096335628345
539,BLACK TALON III,Villain,289,71,73,5183,0.055759212811113255
540,BLACK TALON/DESMOND,Villain,342,37,180,6660,0.051351351351351354
541,BLACK TARANTULA II/C,Hero,18789,1951,2164,4221964,0.004450298486675869
542,BLACK TARANTULA/LAMU,Hero,15864,1641,1825,2994825,0.005297137562294959
543,BLACK TOM CASSIDY,Villain,53123,5307,4336,23011152,0.002308576293790072
544,BLACK WIDOW DOPPELGA,Villain,69996,7286,4990,36357140,0.0019252339430439248
545,BLACK WIDOW II/YELEN,Hero,16543,1598,2087,3335026,0.004960381118468042
