hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
ALISTRO,Hero,1019,na,95,4465.0,0.2282194848824188
ALIST,Hero,0,na,1,0.0,
AL-KHALAD,Hero,1976,na,171,14535.0,0.13594771241830064
"ALLEN, TERRY",Hero,661,na,65,2080.0,0.3177884615384615
"ALOUETTE, GENARD",Hero,1268,na,129,8256.0,0.15358527131782945
ALPHA,Villain,1975,na,170,14365.0,0.13748694744169856
"ALRAUNE, MARLENE",Hero,4067,na,328,53628.0,0.07583724919818005
"ALVAREZ, CARLY",Hero,4111,na,344,58996.0,0.06968269035188826
"ALVAREZ, FELIX",Hero,4449,na,368,67528.0,0.06588378154247126
"ALVAREZ, PAUL",Hero,523,na,56,1540.0,0.3396103896103896
AMAZO-MAXI-WOMAN/,Hero,0,na,1,0.0,
AMAZON,Hero,528,na,52,1326.0,0.39819004524886875
AMENHOTEP,Hero,352,na,56,1540.0,0.22857142857142856
AMERICAN EAGLE III/J,Hero,3867,na,315,49455.0,0.07819229602669094
AMERICAN EAGLE II/JA,Hero,137,na,31,465.0,0.2946236559139785
AMERICAN SAMURAI/,Hero,41,na,16,120.0,0.3416666666666667
AMERICOP/,Villain,3256,na,256,32640.0,0.09975490196078432
AMIKO,Hero,239,na,46,1035.0,0.23091787439613526
AMINEDI,Hero,1449,na,124,7626.0,0.19000786782061369
AMPERE/,Hero,0,na,1,0.0,
AMPHARON,Hero,1139,na,119,7021.0,0.162227602905569
AMPHIBIAN/KINGLEY RI,Hero,1044,na,111,6105.0,0.171007371007371
AMPHIBIUS,Villain,5092,na,409,83436.0,0.061028812502996306
ANACONDA/BLANCHE SIT,Villain,6003,na,492,120786.0,0.049699468481446525
ANAIS,Hero,730,na,77,2926.0,0.24948735475051265
ANAK,Hero,547,na,74,2701.0,0.20251758607922993
ANALYZER,Hero,2947,na,266,35245.0,0.08361469712015888
"ANAMI, HIROSHI",Hero,0,na,1,0.0,
ANANASTASIA/ANNA,Hero,187,na,48,1128.0,0.16578014184397163
ANARCHIST/TIKE ALICA,Hero,3,na,3,3.0,1.0
ANCESTOR/,Hero,564,na,61,1830.0,0.3081967213114754
ANCIENT ONE,Hero,3839,na,329,53956.0,0.07115056712877159
ANCIENT ONE/BARON MO,Hero,111,na,29,406.0,0.2733990147783251
"ANDERS, JOSHUA RICHI",Hero,1,na,2,1.0,1.0
"ANDERSON, BAXTER",Hero,537,na,69,2346.0,0.2289002557544757
"ANDERSON, CHARLES",Hero,2923,na,259,33411.0,0.08748615725359911
"ANDERSON, CHET",Hero,0,na,1,0.0,
"ANDERSON, CHIEF MAGI",Hero,2825,na,244,29646.0,0.09529110166632936
"ANDERSON, GINA",Hero,0,na,1,0.0,
"ANDERSON, MARJORIE",Hero,0,na,1,0.0,
"ANDERSON, NICKY",Hero,0,na,1,0.0,
"ANDERSSEN, TANYA",Hero,4699,na,369,67896.0,0.0692087899139861
"ANDREWS, DARYL TROOP",Hero,304,na,50,1225.0,0.24816326530612245
ANDROMEDA/ANDROMEDA,Hero,5139,na,434,93961.0,0.054692904502932065
ANDROS,Hero,1996,na,197,19306.0,0.10338754791256605
ANDWELLA,Hero,762,na,86,3655.0,0.20848153214774282
ANELLE,Hero,1124,na,113,6328.0,0.17762326169405815
ANGAR THE SCREAMER/D,Hero,5282,na,437,95266.0,0.05544475468687674
ANGEL 2013,Hero,0,na,1,0.0,
ANGEL DOPPELGANGER,Villain,4051,na,340,57630.0,0.07029325004338019
ANGEL III/HALLOWAY,Hero,2496,na,224,24976.0,0.09993593850096093
ANGEL II/THOMAS HALL,Hero,1,na,2,1.0,1.0
ANGEL IV,Hero,1881,na,171,14535.0,0.12941176470588237
"ANGELOPOULOS, ANGEL",Hero,0,na,1,0.0,
ANGEL/WARREN KENNETH,Hero,7270,na,695,241165.0,0.030145336180623226
ANGKOR,Villain,0,na,1,0.0,
ANGLER,Hero,193,na,42,861.0,0.22415795586527293
"ANGSTROM, EARL",Hero,182,na,37,666.0,0.2732732732732733
ANIELLE,Hero,0,na,1,0.0,
ANIMATOR/DR. FREDRIC,Villain,2889,na,231,26565.0,0.10875211744776962
ANIMATOR II/,Villain,0,na,1,0.0,
ANIMUS,Hero,0,na,1,0.0,
ANNALEE,Villain,3419,na,272,36856.0,0.09276644237030605
ANNIHILUS,Villain,4888,na,422,88831.0,0.05502583557541849
ANOMALY III,Hero,0,na,1,0.0,
ANOMALY,Hero,61,na,19,171.0,0.3567251461988304
"ANON, LORD",Hero,495,na,65,2080.0,0.23798076923076922
ANSWER II/DAVID FERR,Villain,969,na,99,4851.0,0.1997526283240569
ANSWER,Villain,3904,na,310,47895.0,0.08151164004593381
ANTEUS,Hero,3803,na,306,46665.0,0.0814957677059895
ANTHROMORPHO,Hero,2777,na,255,32385.0,0.08574957542071947
ANTIBODY,Hero,0,na,1,0.0,
ANTI-PHOENIX,Hero,0,na,1,0.0,
ANTIQUARY/,Hero,0,na,1,0.0,
ANTI-VISION,Hero,343,na,48,1128.0,0.30407801418439717
ANT-MAN/DR. HENRY J.,Hero,7322,na,705,248160.0,0.02950515796260477
ANT-MAN II/SCOTT HAR,Hero,6736,na,597,177906.0,0.0378626915337313
"ANTOINETTE, MARIE",Hero,29,na,9,36.0,0.8055555555555556
ANTORO,Hero,2795,na,232,26796.0,0.10430661292730259
ANTRO,Hero,1727,na,156,12090.0,0.14284532671629446
"ANUBAR, ANWAR",Hero,305,na,50,1225.0,0.24897959183673468
ANUBIA,Hero,347,na,49,1176.0,0.2950680272108844
ANVIL/JOHNNY ANVIL,Hero,0,na,1,0.0,
APE MAN/GORDON MONK,Villain,2113,na,185,17020.0,0.12414806110458285
APE MAN II/ROY MCVEY,Villain,2397,na,215,23005.0,0.1041947402738535
APE/,Villain,2632,na,210,21945.0,0.11993620414673047
APE-X/XINA,Hero,137,na,31,465.0,0.2946236559139785
APOCALYPSE/EN SABAH,Villain,6413,na,559,155961.0,0.04111925417251749
APOCALYPSE | MUTANT,Villain,102,na,28,378.0,0.2698412698412698
APOCRYPHUS,Hero,2794,na,242,29161.0,0.0958129007921539
APOLLO [GREEK GOD],Hero,1245,na,129,8256.0,0.15079941860465115
APOSTATE,Hero,1976,na,171,14535.0,0.13594771241830064
APPALLA,Hero,73,na,17,136.0,0.5367647058823529
"APPLEBAUM, PHANTASY",Hero,2114,na,203,20503.0,0.10310686241037897
AQUARIAN/WUNDARR,Hero,4824,na,379,71631.0,0.06734514386229426
AQUARIUS/DARREN BENT,Villain,907,na,106,5565.0,0.16298292902066486
AQUARIUS III/,Villain,16,na,7,21.0,0.7619047619047619
AQUARIUS II/,Villain,178,na,30,435.0,0.4091954022988506
ARABIAN KNIGHT/ABDUL,Hero,5852,na,468,109278.0,0.053551492523655264
ARACHNE,Hero,1727,na,156,12090.0,0.14284532671629446
ARAGORN,Hero,4879,na,392,76636.0,0.06366459627329192
ARAKI II,Hero,87,na,24,276.0,0.31521739130434784
ARAKI [SHI'AR],Hero,2413,na,210,21945.0,0.10995670995670996
"ARBOGAST, BAMBI",Hero,5863,na,464,107416.0,0.05458218514932599
ARCADE/,Villain,4942,na,403,81003.0,0.06101008604619582
ARCADIUS,Hero,2994,na,261,33930.0,0.08824049513704686
ARCANNA/ARCANNA JONE,Hero,2472,na,233,27028.0,0.09146070741453308
ARCHAEOPTERYX/TONAJA,Hero,884,na,94,4371.0,0.20224204987417066
ARCHER/JUDE BLACK,Hero,1016,na,100,4950.0,0.20525252525252524
"ARCHER, ULYSSES SAMS",Hero,19,na,10,45.0,0.4222222222222222
ARCLIGHT/PHILLIPA SO,Villain,5547,na,434,93961.0,0.05903513159715201
ARCTURUS,Hero,0,na,1,0.0,
ARES [GREEK GOD],Villain,4616,na,385,73920.0,0.062445887445887444
AREX,Hero,51,na,15,105.0,0.4857142857142857
ARGOS,Hero,0,na,1,0.0,
"ARGOSY, HERVE",Hero,351,na,42,861.0,0.4076655052264808
ARIANE,Hero,6,na,5,10.0,0.6
ARIA,Hero,3187,na,272,36856.0,0.08647167354026482
ARIDES,Hero,884,na,94,4371.0,0.20224204987417066
ARIEL II,Hero,2115,na,185,17020.0,0.12426556991774383
ARIES II/GROVER RAYM,Hero,2369,na,181,16290.0,0.14542664211172499
ARIES III/,Hero,22,na,8,28.0,0.7857142857142857
ARIES/MARCUS LASSITE,Hero,186,na,32,496.0,0.375
ARISHEM [CELESTIAL],Hero,4419,na,388,75078.0,0.05885878686166387
ARIZE,Hero,3111,na,261,33930.0,0.09168877099911582
"ARKANIAN, GLIB",Hero,934,na,103,5253.0,0.17780316009899105
ARKON,Hero,5091,na,395,77815.0,0.06542440403521171
ARKO,Hero,1455,na,131,8515.0,0.17087492660011744
"ARLINGTON, DR. MARCU",Hero,2026,na,198,19503.0,0.10388145413526124
ARLISSE,Hero,0,na,1,0.0,
ARMADA II/,Hero,1979,na,196,19110.0,0.10355834641548928
ARMADA,Hero,0,na,1,0.0,
ARMADILLO/ANTONIO RO,Hero,5747,na,435,94395.0,0.060882461994809046
ARMAGEDDON,Hero,49,na,15,105.0,0.4666666666666667
ARMAGEDDON MAN,Hero,89,na,19,171.0,0.52046783625731
ARMAND,Hero,0,na,1,0.0,
ARMAROS,Hero,1,na,2,1.0,1.0
ARMAZIEL,Hero,0,na,1,0.0,
"ARMBRUSTER, COLONEL",Hero,1837,na,161,12880.0,0.14262422360248447
ARMS MERCHANT/ANDREA,Hero,3914,na,303,45753.0,0.08554630297466832
"ARMSTRONG, ?",Hero,0,na,1,0.0,
"ARMSTRONG, MYRA",Hero,2932,na,271,36585.0,0.08014213475468088
ARNSTROM,Hero,225,na,40,780.0,0.28846153846153844
ARON [WATCHER],Hero,5351,na,429,91806.0,0.0582859508093153
ARRANGER/,Hero,5225,na,430,92235.0,0.056648777579010136
ARROW,Hero,1,na,2,1.0,1.0
ARSENAL,Hero,1600,na,143,10153.0,0.15758888998325618
ARSENAL II,Hero,1,na,2,1.0,1.0
ARSENIC,Hero,2780,na,200,19900.0,0.13969849246231156
ARTEMIS,Hero,251,na,53,1378.0,0.18214804063860668
ARVAK,Hero,983,na,104,5356.0,0.1835324869305452
ARYAN,Villain,2676,na,198,19503.0,0.13720966005229965
ASANO,Hero,0,na,1,0.0,
"ASBERY, SHAMARI",Hero,3306,na,270,36315.0,0.09103676166873192
ASBESTOS LADY,Hero,0,na,1,0.0,
"ASH, BRANDY",Hero,2805,na,243,29403.0,0.09539842873176206
ASHEMA [CELESTIAL],Hero,3780,na,284,40186.0,0.09406260886876026
"ASHER, CARL",Hero,0,na,1,0.0,
"ASHER, DONNA",Hero,0,na,1,0.0,
"ASHER, MICHAEL",Hero,0,na,1,0.0,
ASHUR,Hero,0,na,1,0.0,
ASKANI,Hero,1593,na,147,10731.0,0.14844842046407605
ASMODEUS,Hero,589,na,79,3081.0,0.19117169750081142
ASP II/CLEO,Hero,5899,na,463,106953.0,0.0551550681140314
ASSAULT/,Hero,1,na,2,1.0,1.0
ASTARTE,Hero,0,na,1,0.0,
"ASTER, LUCIAN",Hero,80,na,23,253.0,0.31620553359683795
ASTRA,Hero,1354,na,140,9730.0,0.13915724563206577
ASTRA II,Hero,2753,na,233,27028.0,0.1018573331360071
