,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
964,CESIUM,Hero,21,1,6,6,3.5
965,CETHLANN,Hero,2,2,1,2,1.0
966,CH'OD,Hero,195,37,23,851,0.2291421856639248
967,CH'THON,Hero,24,9,6,54,0.4444444444444444
968,CH'VAYRE,Hero,30,4,7,28,1.0714285714285714
969,"CHADWICK, CHEER",Hero,12,5,3,15,0.8
970,"CHADWICK, DR. HESPER",Hero,11,4,3,12,0.9166666666666666
971,CHAIN,Hero,7,4,2,8,0.875
972,CHAINSAW/,Hero,34,6,7,42,0.8095238095238095
973,CHAKA KHAN,Hero,13,7,3,21,0.6190476190476191
974,CHAKA KHAN II,Hero,1,1,1,1,1.0
975,"CHAKARA, KANU",Hero,4,2,2,4,1.0
976,"CHAKARA, MADAN",Hero,1,1,1,1,1.0
977,CHAKRA,Hero,67,7,10,70,0.9571428571428572
978,CHAKRA II,Hero,1,1,1,1,1.0
979,"CHALIZ, HAZRAM",Hero,14,2,4,8,1.75
980,"CHALIZ, SHANAZ RAYNA",Hero,14,2,4,8,1.75
981,"CHALIZ, TABRIAZ",Hero,14,2,4,8,1.75
982,"CHALKER, PROF. VIC",Hero,27,4,7,28,0.9642857142857143
983,"CHALMER, JUDGE",Hero,6,3,2,6,1.0
984,"CHALMERS, CYNTHIA",Hero,12,3,3,9,1.3333333333333333
985,"CHALMERS, JUDGE ROBE",Hero,70,6,11,66,1.0606060606060606
986,"CHALMERS, MR.",Hero,2,2,1,2,1.0
987,CHAMBER/JONOTHON STA,Hero,312,79,35,2765,0.11283905967450271
988,"CHAMBERS, MR.",Hero,21,8,4,32,0.65625
989,CHAMBLISS,Hero,1,1,1,1,1.0
990,CHAMELEON/DMITRI SME,Villain,453,45,41,1845,0.24552845528455283
991,"CHAMPION, IMUS",Hero,30,6,7,42,0.7142857142857143
992,CHAMPION/TRYCO SLATT,Hero,118,13,14,182,0.6483516483516484
993,"CHAN, SARAH",Hero,10,1,4,4,2.5
994,CHANCE,Villain,11,8,2,16,0.6875
995,CHANCE II/NICHOLAS P,Villain,133,7,19,133,1.0
996,"CHANDLER, PEGGY",Hero,4,2,2,4,1.0
997,"CHANDRA, DR.",Hero,7,5,2,10,0.7
998,"CHANEY, AMANDA",Hero,27,12,5,60,0.45
