,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
92,"ALVAREZ, FELIX",Hero,7395,1000,368,368000,0.020095108695652175
93,"ALVAREZ, PAUL",Hero,671,61,56,3416,0.19642857142857142
94,AMAZO-MAXI-WOMAN/,Hero,1,1,1,1,1.0
95,AMAZON,Hero,680,22,52,1144,0.5944055944055944
96,AMENHOTEP,Hero,583,83,56,4648,0.1254302925989673
97,AMERICAN EAGLE II/JA,Hero,247,46,31,1426,0.17321178120617112
98,AMERICAN EAGLE III/J,Hero,6921,1029,315,324135,0.021352214355129805
99,AMERICAN SAMURAI/,Hero,124,42,16,672,0.18452380952380953
100,AMERICOP/,Villain,4615,452,256,115712,0.039883503871681415
101,AMIKO,Hero,401,76,46,3496,0.1147025171624714
102,AMINEDI,Hero,2034,111,124,13764,0.14777680906713164
103,AMPERE/,Hero,1,1,1,1,1.0
104,AMPHARON,Hero,1627,204,119,24276,0.06702092601746582
105,AMPHIBIAN/KINGLEY RI,Hero,1517,199,111,22089,0.06867671691792294
106,AMPHIBIUS,Villain,9224,1290,409,527610,0.0174826102613673
107,ANACONDA/BLANCHE SIT,Villain,11210,1675,492,824100,0.013602718116733406
108,ANAIS,Hero,1176,137,77,10549,0.11147976111479761
109,ANAK,Hero,885,135,74,9990,0.08858858858858859
110,ANALYZER,Hero,4927,729,266,193914,0.025408170632342172
111,"ANAMI, HIROSHI",Hero,1,1,1,1,1.0
112,ANANASTASIA/ANNA,Hero,364,67,48,3216,0.11318407960199005
113,ANARCHIST/TIKE ALICA,Hero,8,2,3,6,1.3333333333333333
114,ANCESTOR/,Hero,784,82,61,5002,0.15673730507796882
115,ANCIENT ONE,Hero,6986,1228,329,404012,0.017291565597061475
116,ANCIENT ONE/BARON MO,Hero,199,30,29,870,0.22873563218390805
117,"ANDERS, JOSHUA RICHI",Hero,5,3,2,6,0.8333333333333334
118,"ANDERSON, BAXTER",Hero,843,104,69,7176,0.11747491638795987
119,"ANDERSON, CHARLES",Hero,5402,923,259,239057,0.022597121188670483
120,"ANDERSON, CHET",Hero,1,1,1,1,1.0
121,"ANDERSON, CHIEF MAGI",Hero,4569,455,244,111020,0.04115474689245181
122,"ANDERSON, GINA",Hero,2,2,1,2,1.0
123,"ANDERSON, MARJORIE",Hero,1,1,1,1,1.0
124,"ANDERSON, NICKY",Hero,1,1,1,1,1.0
125,"ANDERSSEN, TANYA",Hero,8268,1116,369,411804,0.02007751260308302
126,"ANDREWS, DARYL TROOP",Hero,495,63,50,3150,0.15714285714285714
127,ANDROMEDA/ANDROMEDA,Hero,8736,1314,434,570276,0.015318898217705112
128,ANDROS,Hero,3697,628,197,123716,0.029882957741925054
129,ANDWELLA,Hero,1104,98,86,8428,0.13099193165638348
130,ANELLE,Hero,1827,202,113,22826,0.0800403049154473
131,ANGAR THE SCREAMER/D,Hero,9732,1507,437,658559,0.014777719232445384
132,ANGEL 2013,Hero,1,1,1,1,1.0
133,ANGEL DOPPELGANGER,Villain,6504,850,340,289000,0.022505190311418684
134,ANGEL II/THOMAS HALL,Hero,4,2,2,4,1.0
135,ANGEL III/HALLOWAY,Hero,4229,638,224,142912,0.029591636811464397
136,ANGEL IV,Hero,3089,400,171,68400,0.04516081871345029
137,ANGEL/WARREN KENNETH,Hero,20375,5306,695,3687670,0.0055251690091575436
138,"ANGELOPOULOS, ANGEL",Hero,1,1,1,1,1.0
139,ANGKOR,Villain,2,2,1,2,1.0
140,ANGLER,Hero,367,63,42,2646,0.13869992441421014
141,"ANGSTROM, EARL",Hero,294,40,37,1480,0.19864864864864865
142,ANIELLE,Hero,1,1,1,1,1.0
143,ANIMATOR II/,Villain,1,1,1,1,1.0
144,ANIMATOR/DR. FREDRIC,Villain,4606,452,231,104412,0.0441137034057388
145,ANIMUS,Hero,1,1,1,1,1.0
146,ANNALEE,Villain,5453,547,272,148784,0.03665044628454672
147,ANNIHILUS,Villain,9778,1764,422,744408,0.01313526990575061
148,ANOMALY,Hero,134,30,19,570,0.23508771929824562
149,ANOMALY III,Hero,1,1,1,1,1.0
150,"ANON, LORD",Hero,774,66,65,4290,0.18041958041958042
151,ANSWER,Villain,6819,1004,310,311240,0.02190913764297648
152,ANSWER II/DAVID FERR,Villain,1436,175,99,17325,0.08288600288600288
153,ANT-MAN II/SCOTT HAR,Hero,15547,3209,597,1915773,0.008115262090028412
154,ANT-MAN/DR. HENRY J.,Hero,20776,5588,705,3939540,0.005273712159287632
155,ANTEUS,Hero,6187,666,306,203796,0.030358790162711733
156,ANTHROMORPHO,Hero,4187,407,255,103785,0.04034301681360505
157,ANTI-PHOENIX,Hero,2,2,1,2,1.0
158,ANTI-VISION,Hero,608,66,48,3168,0.1919191919191919
159,ANTIBODY,Hero,1,1,1,1,1.0
160,ANTIQUARY/,Hero,1,1,1,1,1.0
161,"ANTOINETTE, MARIE",Hero,42,5,9,45,0.9333333333333333
162,ANTORO,Hero,4614,628,232,145696,0.03166867999121458
163,ANTRO,Hero,2596,220,156,34320,0.07564102564102564
164,"ANUBAR, ANWAR",Hero,489,56,50,2800,0.17464285714285716
165,ANUBIA,Hero,564,79,49,3871,0.1456987858434513
166,ANVIL/JOHNNY ANVIL,Hero,4,4,1,4,1.0
167,APE MAN II/ROY MCVEY,Villain,3393,393,215,84495,0.040156222261672286
168,APE MAN/GORDON MONK,Villain,3341,382,185,70670,0.04727607188340173
169,APE-X/XINA,Hero,253,46,31,1426,0.1774193548387097
170,APE/,Villain,4258,455,210,95550,0.04456305599162742
171,APOCALYPSE | MUTANT,Villain,190,31,28,868,0.21889400921658986
172,APOCALYPSE/EN SABAH,Villain,13573,2487,559,1390233,0.009763111651068562
173,APOCRYPHUS,Hero,4208,516,242,124872,0.03369850727144596
174,APOLLO [GREEK GOD],Hero,2068,325,129,41925,0.049326177698270725
175,APOSTATE,Hero,2848,270,171,46170,0.061685076889755254
176,APPALLA,Hero,117,14,17,238,0.49159663865546216
177,"APPLEBAUM, PHANTASY",Hero,3802,611,203,124033,0.030653132634057067
178,AQUARIAN/WUNDARR,Hero,8281,1053,379,399087,0.020749861559008438
179,AQUARIUS II/,Villain,299,30,30,900,0.3322222222222222
180,AQUARIUS III/,Villain,31,5,7,35,0.8857142857142857
181,AQUARIUS/DARREN BENT,Villain,1437,199,106,21094,0.06812363705319048
182,ARABIAN KNIGHT/ABDUL,Hero,10615,1648,468,771264,0.013763121317732968
183,ARACHNE,Hero,2596,220,156,34320,0.07564102564102564
184,ARAGORN,Hero,8228,1179,392,462168,0.017803049973169928
185,ARAKI II,Hero,194,40,24,960,0.20208333333333334
186,ARAKI [SHI'AR],Hero,3792,421,210,88410,0.04289107567017306
187,"ARBOGAST, BAMBI",Hero,10523,1449,464,672336,0.015651400490231074
188,ARCADE/,Villain,8681,1244,403,501332,0.017315870520932235
189,ARCADIUS,Hero,4762,629,261,164169,0.029006694321095945
190,ARCANNA/ARCANNA JONE,Hero,4186,626,233,145858,0.028699145744491217
191,ARCHAEOPTERYX/TONAJA,Hero,1624,196,94,18424,0.08814589665653495
192,"ARCHER, ULYSSES SAMS",Hero,65,31,10,310,0.20967741935483872
193,ARCHER/JUDE BLACK,Hero,1614,159,100,15900,0.10150943396226415
194,ARCLIGHT/PHILLIPA SO,Villain,9962,1188,434,515592,0.019321478998898352
195,ARCTURUS,Hero,2,2,1,2,1.0
196,ARES [GREEK GOD],Villain,7669,1111,385,427735,0.017929325400072475
197,AREX,Hero,98,16,15,240,0.4083333333333333
198,ARGOS,Hero,3,3,1,3,1.0
199,"ARGOSY, HERVE",Hero,547,29,42,1218,0.4490968801313629
200,ARIA,Hero,4949,631,272,171632,0.028834949193623567
201,ARIANE,Hero,19,8,5,40,0.475
202,ARIDES,Hero,1619,197,94,18518,0.08742844799654391
203,ARIEL II,Hero,3411,363,185,67155,0.050792941702032614
204,ARIES II/GROVER RAYM,Hero,3401,260,181,47060,0.0722694432639184
205,ARIES III/,Hero,38,5,8,40,0.95
206,ARIES/MARCUS LASSITE,Hero,318,37,32,1184,0.2685810810810811
207,ARISHEM [CELESTIAL],Hero,7995,1303,388,505564,0.01581402156799139
208,ARIZE,Hero,5100,517,261,134937,0.03779541563840903
209,"ARKANIAN, GLIB",Hero,1351,118,103,12154,0.11115682079973671
210,ARKO,Hero,2390,334,131,43754,0.05462357727293505
211,ARKON,Hero,8183,996,395,393420,0.020799654313456355
212,"ARLINGTON, DR. MARCU",Hero,3639,603,198,119394,0.03047891853862003
213,ARLISSE,Hero,1,1,1,1,1.0
214,ARMADA,Hero,1,1,1,1,1.0
215,ARMADA II/,Hero,3640,615,196,120540,0.030197444831591175
216,ARMADILLO/ANTONIO RO,Hero,9916,1271,435,552885,0.017935013610425314
217,ARMAGEDDON,Hero,114,29,15,435,0.2620689655172414
218,ARMAGEDDON MAN,Hero,170,17,19,323,0.5263157894736842
219,ARMAND,Hero,2,2,1,2,1.0
220,ARMAROS,Hero,3,1,2,2,1.5
221,ARMAZIEL,Hero,1,1,1,1,1.0
222,"ARMBRUSTER, COLONEL",Hero,2603,317,161,51037,0.05100221407998119
223,ARMS MERCHANT/ANDREA,Hero,6017,685,303,207555,0.028989906289899062
224,"ARMSTRONG, ?",Hero,1,1,1,1,1.0
225,"ARMSTRONG, MYRA",Hero,4418,439,271,118969,0.03713572443241517
226,ARNSTROM,Hero,385,45,40,1800,0.21388888888888888
227,ARON [WATCHER],Hero,9261,1304,429,559416,0.016554764254150756
228,ARRANGER/,Hero,10098,1740,430,748200,0.013496391339214113
229,ARROW,Hero,4,2,2,4,1.0
230,ARSENAL,Hero,2467,297,143,42471,0.058086694450330816
231,ARSENAL II,Hero,6,3,2,6,1.0
232,ARSENIC,Hero,4238,311,200,62200,0.06813504823151126
233,ARTEMIS,Hero,467,84,53,4452,0.10489667565139263
234,ARVAK,Hero,1773,223,104,23192,0.07644877543980683
235,ARYAN,Villain,3818,313,198,61974,0.06160648013683157
236,ASANO,Hero,3,3,1,3,1.0
237,"ASBERY, SHAMARI",Hero,4749,522,270,140940,0.03369518944231588
238,ASBESTOS LADY,Hero,1,1,1,1,1.0
239,"ASH, BRANDY",Hero,4669,586,243,142398,0.03278838185929578
240,ASHEMA [CELESTIAL],Hero,6037,585,284,166140,0.03633682436499338
241,"ASHER, CARL",Hero,1,1,1,1,1.0
242,"ASHER, DONNA",Hero,1,1,1,1,1.0
243,"ASHER, MICHAEL",Hero,2,2,1,2,1.0
244,ASHUR,Hero,1,1,1,1,1.0
245,ASKANI,Hero,2636,281,147,41307,0.0638148497833297
246,ASMODEUS,Hero,907,144,79,11376,0.07972925457102673
247,ASP II/CLEO,Hero,10492,1347,463,623661,0.01682324211390483
248,ASSAULT/,Hero,7,3,2,6,1.1666666666666667
249,ASTARTE,Hero,1,1,1,1,1.0
250,"ASTER, LUCIAN",Hero,151,38,23,874,0.17276887871853547
251,ASTRA,Hero,2460,343,140,48020,0.051228654727197
252,ASTRA II,Hero,4503,464,233,108112,0.04165125055498002
253,ASTROLOGER/,Hero,3370,384,214,82176,0.04100954049844237
254,ASTRONOMER,Hero,4175,506,235,118910,0.03511058783954251
255,"ASTROVIK, ARNOLD",Hero,370,20,38,760,0.4868421052631579
256,"ASTROVIK, NORMA",Hero,914,148,80,11840,0.07719594594594595
257,ASYLUM II/HENRIQUE M,Hero,7,5,2,10,0.7
258,ASYLUM/,Hero,251,29,31,899,0.27919911012235815
259,ATALANTA,Hero,3107,323,181,58463,0.05314472401347861
260,ATALON,Hero,4,4,1,4,1.0
261,ATHENA [GREEK GOD],Hero,4045,557,244,135908,0.029762780704594285
262,"ATKINSON, MAJ. EDMON",Hero,5260,767,258,197886,0.026580960755182275
263,ATLAS,Hero,4595,512,273,139776,0.032874027014652016
264,ATLAS III,Hero,344,62,39,2418,0.14226633581472292
265,ATOM SMASHER II/,Hero,2,2,1,2,1.0
266,ATOM SMASHER/,Hero,1908,103,110,11330,0.16840247131509267
267,ATOM-SMASHER/,Hero,3,3,1,3,1.0
268,"ATOR, GENERAL",Hero,4760,628,261,163908,0.029040681357834882
269,ATTRACTIVE LAD/AUNDR,Hero,2732,172,147,25284,0.10805252333491536
270,ATTUMA,Villain,13528,2669,552,1473288,0.009182182981195802
271,AUGUST PERSONAGE IN,Hero,2757,262,186,48732,0.05657473528687516
272,AUNTIE FREEZE/,Hero,1921,95,111,10545,0.18217164532954006
273,AURA/ANN HERD,Hero,4156,654,216,141264,0.029420092875750366
274,AURIC/,Hero,8338,1155,375,433125,0.01925079365079365
275,AURORA DOPPELGANGER,Villain,1832,181,131,23711,0.07726371726203028
276,AURORA | MUTANT X-VE,Hero,191,30,29,870,0.21954022988505748
