,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
870,CAPTAIN MARVEL II/MO,Hero,34937,175,553,96775,0.3610126582278481
871,CAPTAIN MARVEL III/G,Hero,3131,49,145,7105,0.4406755805770584
872,CAPTAIN MARVEL/CAPTA,Hero,13139,119,260,30940,0.4246606334841629
873,CAPTAIN POWER/DR. CH,Hero,71,2,11,22,3.227272727272727
874,CAPTAIN RECTITUDE,Villain,38,3,7,21,1.8095238095238095
875,CAPTAIN TERROR/DAN K,Hero,105,4,15,60,1.75
876,CAPTAIN U.K./LINDA M,Hero,670,6,40,240,2.7916666666666665
877,CAPTAIN ULTRA/GRIFFI,Hero,1369,6,60,360,3.8027777777777776
878,CAPTAIN UNIVERSE/STE,Hero,25,6,6,36,0.6944444444444444
879,CAPTAIN WINGS/,Hero,119,2,14,28,4.25
880,"CAPUTO, DR. JULIA",Hero,632,6,38,228,2.7719298245614037
881,CARBON,Hero,728,2,39,78,9.333333333333334
882,"CARBONE, JULIUS",Hero,64,6,8,48,1.3333333333333333
883,"CARBONE, ROSALIE",Hero,138,9,15,135,1.0222222222222221
884,"CARBONE, SALVATORE",Hero,59,5,8,40,1.475
885,"CARDENAS, PACO",Hero,28,1,7,7,4.0
886,CARDIAC/DR. ELI WIRT,Hero,1274,13,72,936,1.3611111111111112
887,CARDINAL/CLEMDENON,Hero,2740,7,100,700,3.914285714285714
888,"CARDINALE, CARLOS",Hero,66,1,11,11,6.0
889,CAREGIVER/RUBANNA LA,Hero,348,2,27,54,6.444444444444445
890,CARETAKER,Hero,55,1,10,10,5.5
891,CARGIL/JOANNA CARGIL,Hero,9438,29,226,6554,1.4400366188587121
892,CARGO,Hero,72,2,11,22,3.272727272727273
893,CARINA/CARINA WALTER,Hero,931,8,42,336,2.7708333333333335
894,"CARLISLE, JENNA",Hero,406,1,28,28,14.5
895,"CARLISLE, MELISSA BO",Hero,198,3,19,57,3.473684210526316
896,"CARLISLE, PHILLIP",Hero,745,18,45,810,0.9197530864197531
897,"CARLTON, JAKE",Hero,66,1,11,11,6.0
898,"CARLTON, LUCY",Hero,66,1,11,11,6.0
899,CARLY,Hero,45,1,9,9,5.0
900,"CARMODY, MARY",Hero,210,1,20,20,10.5
901,"CARMODY, MRS.",Hero,171,1,18,18,9.5
902,CARNAGE/CLETUS KASAD,Villain,1479,27,74,1998,0.7402402402402403
