,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
79,"ALEXANDER, CARRIE",Hero,153457,na,4797,11503206.0,0.013340367893959301
80,ALFY,Hero,120155,na,3001,4501500.0,0.026692213706542265
81,ALIOTH,Villain,47150,na,884,390286.0,0.12080884274608876
82,ALISTRO,Hero,40991,na,778,302253.0,0.1356181741785855
83,ALIST,Hero,35775,na,688,236328.0,0.15137859246471005
84,AL-KHALAD,Hero,36347,na,670,224115.0,0.16218013073645227
85,"ALLEN, TERRY",Hero,112158,na,2677,3581826.0,0.031313078859777105
86,"ALOUETTE, GENARD",Hero,58270,na,1213,735078.0,0.0792704991851205
87,ALPHA,Villain,107997,na,2431,2953665.0,0.03656372675980519
88,"ALRAUNE, MARLENE",Hero,147791,na,4470,9988215.0,0.01479653771970267
89,"ALVAREZ, CARLY",Hero,127214,na,3154,4972281.0,0.02558463610564246
90,"ALVAREZ, FELIX",Hero,129558,na,3407,5802121.0,0.02232942056878855
91,"ALVAREZ, PAUL",Hero,106652,na,2367,2800161.0,0.03808780995092782
92,AMAZO-MAXI-WOMAN/,Hero,21,na,7,21.0,1.0
93,AMAZON,Hero,95614,na,1957,1913946.0,0.049956477350980646
94,AMENHOTEP,Hero,91800,na,1793,1606528.0,0.057141861206278385
95,AMERICAN EAGLE III/J,Hero,161805,na,5473,14974128.0,0.010805637563669817
96,AMERICAN EAGLE II/JA,Hero,132570,na,3476,6039550.0,0.021950310867531523
97,AMERICAN SAMURAI/,Hero,51010,na,1034,534061.0,0.09551343385867907
98,AMERICOP/,Villain,98171,na,2092,2187186.0,0.04488461429434899
99,AMIKO,Hero,97066,na,2132,2271646.0,0.04272936892455955
100,AMINEDI,Hero,32656,na,578,166753.0,0.19583455769911187
101,AMPERE/,Hero,83177,na,1563,1220703.0,0.06813860537739319
102,AMPHARON,Hero,96761,na,2272,2579856.0,0.03750635694395346
103,AMPHIBIAN/KINGLEY RI,Hero,137422,na,3779,7138531.0,0.019250739402826716
104,AMPHIBIUS,Villain,154984,na,4745,11255140.0,0.013770064166238714
105,ANACONDA/BLANCHE SIT,Villain,154935,na,4747,11264631.0,0.013754112318459433
106,ANAIS,Hero,74932,na,1470,1079715.0,0.06939979531635664
107,ANAK,Hero,118247,na,2810,3946645.0,0.029961397592132052
108,ANALYZER,Hero,142387,na,3992,7966036.0,0.01787426017155835
109,"ANAMI, HIROSHI",Hero,102512,na,2277,2591226.0,0.03956119612878228
110,ANANASTASIA/ANNA,Hero,3719,na,210,21945.0,0.1694691273638642
111,ANARCHIST/TIKE ALICA,Hero,88011,na,1829,1671706.0,0.052647415275173984
112,ANCESTOR/,Hero,95152,na,2003,2005003.0,0.04745728560007142
113,ANCIENT ONE,Hero,153555,na,4757,11312146.0,0.013574347431512994
114,ANCIENT ONE/BARON MO,Hero,41081,na,785,307720.0,0.13350123488886
115,"ANDERS, JOSHUA RICHI",Hero,98086,na,2160,2331720.0,0.04206594273754996
116,"ANDERSON, BAXTER",Hero,81074,na,1816,1648020.0,0.04919479132534799
117,"ANDERSON, CHARLES",Hero,100676,na,2423,2934253.0,0.03431060648144519
118,"ANDERSON, CHET",Hero,94622,na,2039,2077741.0,0.045540806096621284
119,"ANDERSON, CHIEF MAGI",Hero,133543,na,3541,6267570.0,0.021306981812728058
120,"ANDERSON, GINA",Hero,98138,na,2052,2104326.0,0.04663631015346482
121,"ANDERSON, MARJORIE",Hero,94622,na,2039,2077741.0,0.045540806096621284
122,"ANDERSON, NICKY",Hero,94622,na,2039,2077741.0,0.045540806096621284
123,"ANDERSSEN, TANYA",Hero,146145,na,4190,8775955.0,0.016652888489059027
124,"ANDREWS, DARYL TROOP",Hero,105764,na,2483,3081403.0,0.03432332609528841
125,ANDROMEDA/ANDROMEDA,Hero,156625,na,5033,12663028.0,0.012368684646357885
126,ANDROS,Hero,83263,na,1956,1911990.0,0.04354782190283422
127,ANDWELLA,Hero,90681,na,1892,1788886.0,0.050691324097790466
128,ANELLE,Hero,134817,na,3593,6453028.0,0.02089205253719649
129,ANGAR THE SCREAMER/D,Hero,146640,na,4429,9805806.0,0.014954405583793929
130,ANGEL 2013,Hero,33155,na,553,152628.0,0.21722750740362187
131,ANGEL DOPPELGANGER,Villain,154694,na,4809,11560836.0,0.013380866228013268
132,ANGEL III/HALLOWAY,Hero,112428,na,2675,3576475.0,0.03143542174906857
133,ANGEL II/THOMAS HALL,Hero,11681,na,294,43071.0,0.27120336189083144
134,ANGEL IV,Hero,122733,na,3224,5195476.0,0.0236230520552881
135,"ANGELOPOULOS, ANGEL",Hero,33938,na,645,207690.0,0.1634070008185276
136,ANGEL/WARREN KENNETH,Hero,170863,na,6276,19690950.0,0.008677234973426878
137,ANGKOR,Villain,59033,na,1050,550725.0,0.10719142947932271
138,ANGLER,Hero,127645,na,3270,5344815.0,0.02388202398025002
139,"ANGSTROM, EARL",Hero,48076,na,1032,531996.0,0.09036910051955278
140,ANIELLE,Hero,30030,na,618,190653.0,0.157511290144923
141,ANIMATOR/DR. FREDRIC,Villain,80644,na,1648,1357128.0,0.059422545257337554
142,ANIMATOR II/,Villain,72444,na,1478,1091503.0,0.06637086659404509
143,ANIMUS,Hero,57548,na,1093,596778.0,0.09643116870930228
144,ANNALEE,Villain,115013,na,2732,3730546.0,0.03083007152304247
145,ANNIHILUS,Villain,155345,na,4993,12462528.0,0.012464966979412203
146,ANOMALY III,Hero,54651,na,970,469965.0,0.11628738310299704
147,ANOMALY,Hero,101620,na,2175,2364225.0,0.04298237265911663
148,"ANON, LORD",Hero,92958,na,1868,1743778.0,0.053308391320454784
149,ANSWER II/DAVID FERR,Villain,104277,na,2322,2694681.0,0.038697344880525744
150,ANSWER,Villain,94172,na,2216,2454220.0,0.03837145814148691
151,ANTEUS,Hero,104221,na,2370,2807265.0,0.03712545840880715
152,ANTHROMORPHO,Hero,151184,na,4430,9810235.0,0.015410843878867327
153,ANTIBODY,Hero,59263,na,1048,548628.0,0.10802037081592628
154,ANTI-PHOENIX,Hero,59220,na,1127,634501.0,0.0933331862361131
155,ANTIQUARY/,Hero,56208,na,1131,639015.0,0.08796037651698317
156,ANTI-VISION,Hero,85005,na,1671,1395285.0,0.060923037228953224
157,ANT-MAN/DR. HENRY J.,Hero,170794,na,6258,19578153.0,0.008723703405525536
158,ANT-MAN II/SCOTT HAR,Hero,168888,na,6029,18171406.0,0.009294162488032021
159,"ANTOINETTE, MARIE",Hero,129019,na,3234,5227761.0,0.024679590363828798
