,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
376,BASILISK/BASIL ELKS,Villain,147,na,19,171.0,0.8596491228070176
377,BASILISK III/,Villain,210,na,21,210.0,1.0
378,BASILISK II,Villain,45,na,10,45.0,1.0
379,BATAL/,Hero,28,na,8,28.0,1.0
380,BATROC/GEORGES BATRO,Villain,4118,na,176,15400.0,0.2674025974025974
381,BATTERING RAM,Hero,55,na,11,55.0,1.0
382,BATTERY/,Hero,91,na,14,91.0,1.0
383,BATTLEAXE/,Hero,1243,na,60,1770.0,0.7022598870056497
384,BATTLEAXE II/JEROME,Hero,218,na,25,300.0,0.7266666666666667
385,"BATTLE, MONTGOMERY",Hero,231,na,22,231.0,1.0
386,BATTLESTAR/LEMAR HOS,Hero,3811,na,158,12403.0,0.3072643715230186
387,BATWING/,Hero,88,na,14,91.0,0.967032967032967
388,BAV-TEK,Hero,55,na,11,55.0,1.0
389,"BAXTER, ABIGAIL",Hero,126,na,18,153.0,0.8235294117647058
390,BAXTER,Hero,28,na,8,28.0,1.0
391,"BAXTER, NOAH",Hero,428,na,40,780.0,0.5487179487179488
392,"BAYLOR, FRANK",Hero,36,na,9,36.0,1.0
393,BAYMAX,Hero,2005,na,80,3160.0,0.634493670886076
394,"BAZIN, ALLEGRA",Hero,401,na,39,741.0,0.5411605937921727
395,"BAZIN, ANDREW",Hero,201,na,23,253.0,0.7944664031620553
396,"BAZIN, BRODERICK RIC",Hero,259,na,28,378.0,0.6851851851851852
397,"BAZIN, PHILLIPPE",Hero,454,na,42,861.0,0.5272938443670151
398,"BEACH, GINGER",Hero,2235,na,90,4005.0,0.5580524344569289
399,"BEACH, SPIDER",Hero,2235,na,90,4005.0,0.5580524344569289
400,"BEALE, ERIC",Hero,225,na,23,253.0,0.8893280632411067
401,BEAR/,Hero,36,na,9,36.0,1.0
402,BEAST 2013,Hero,45,na,10,45.0,1.0
403,BEAST DOPPELGANGER I,Villain,4434,na,97,4656.0,0.9523195876288659
404,BEAST DOPPELGANGER,Villain,4005,na,90,4005.0,1.0
405,BEAST/HENRY &HANK& P,Hero,72106,na,1336,891780.0,0.0808562649980937
406,"BEAUMONT, SPENCER",Hero,171,na,19,171.0,1.0
407,BEAUTIFUL DREAMER II,Hero,276,na,24,276.0,1.0
408,BEAUTIFUL DREAMER,Hero,1096,na,51,1275.0,0.8596078431372549
409,BEAUTY,Hero,1918,na,87,3741.0,0.5126971398021919
410,"BECKFORD, NOEL",Hero,171,na,19,171.0,1.0
411,"BECKLEY, BENNY",Hero,36,na,9,36.0,1.0
412,"BECKMAN, CHARLES",Hero,10,na,5,10.0,1.0
413,"BECKMAN, JOSEPH",Hero,10,na,5,10.0,1.0
414,"BECKMAN, LISA",Hero,10,na,5,10.0,1.0
415,"BECKMAN, SARAH",Hero,10,na,5,10.0,1.0
416,"BEDFORD, BRAD HULK",Hero,3,na,3,3.0,1.0
417,BEDLAM II/OLISA KABA,Hero,552,na,38,703.0,0.7852062588904695
418,BEDLAM/JESSE AARONSO,Hero,2501,na,134,8911.0,0.2806643474357536
419,BEEFER,Hero,813,na,47,1081.0,0.7520814061054579
420,BEEF/,Villain,406,na,29,406.0,1.0
421,"BEERE, JASON",Hero,131,na,17,136.0,0.9632352941176471
422,BEETLE/ABNER RONALD,Villain,19671,na,450,101025.0,0.19471417965850038
423,BEETLE II/LEILA DAVI,Villain,1004,na,63,1953.0,0.5140809011776754
424,BEETLE ROBOT,Hero,568,na,40,780.0,0.7282051282051282
425,BEHEMOTH,Hero,231,na,22,231.0,1.0
426,BELASCO,Villain,579,na,45,990.0,0.5848484848484848
427,BELDAME,Hero,282,na,25,300.0,0.94
428,"BEL-DANN, GEN.",Hero,1144,na,68,2278.0,0.5021949078138718
429,"BELGRADE, DR. HORATI",Hero,133,na,19,171.0,0.7777777777777778
430,BELIAL,Hero,78,na,13,78.0,1.0
