ABOMINATION | MUTANT
ABOMINATION/EMIL BLO
ABOMINATRIX
ABRAXAS
ABSALOM
ABSORBING MAN | MUTA
ABSORBING MAN/CARL C
ACROBAT/CARL ZANTE
ADVERSARY
AGGAMON
AGONY/
AHAB/RORY CAMPBELL
AIR-WALKER/GABRIEL L
AJAX
AJAX II
ALIOTH
ALPHA
AMERICOP/
AMPHIBIUS
ANACONDA/BLANCHE SIT
ANGKOR
ANNALEE
ANNIHILUS
APE MAN II/ROY MCVEY
APE MAN/GORDON MONK
APE/
APOCALYPSE | MUTANT
APOCALYPSE/EN SABAH
AQUARIUS II/
AQUARIUS III/
AQUARIUS/DARREN BENT
ARCADE/
ARCLIGHT/PHILLIPA SO
ARES [GREEK GOD]
ARYAN
ATTUMA
AVALANCHE/DOMINIC PE
AVANDALIA
AWESOME ANDROID
AYESHA
AZAZEL
AZAZEL II
BARBARUS
BARON BLOOD II/VICTO
BARON BLOOD/JOHN FAL
BARON MORDO/KARL MOR
BARRACUDA/
BASILISK II
BASILISK III/
BASILISK/BASIL ELKS
BATROC/GEORGES BATRO
BEEF/
BEETLE II/LEILA DAVI
BEETLE/ABNER RONALD
BELASCO
BERSERKER
BERSERKER II
BERSERKER III
BEYONDER
BEYONDER | MUTANT X-
BI-BEAST
BI-BEAST II
BIG MAN/FREDERICK FO
BIOHAZARD
BIOHAZARD II/FLETCHE
BLACK BOLT | MUTANT
BLACK BOLT/BLACKANTO
BLACK BRIGADE
BLACK CAT/FELICIA HA
BLACK DEATH/DR. IVAN
BLACK HOLE/MORTON KI
BLACK MAMBA/TANYA SE
BLACK MARIAH
BLACK TALON II/SAMUE
BLACK TALON III
BLACK TALON/DESMOND
BLACK TOM CASSIDY
BLACK WIDOW DOPPELGA
BLACK WIDOW/NATASHA
BLACKHEART
BLACKOUT II/
BLACKOUT/MARCUS DANI
BLASTAAR
BLASTING CAP/
BLITZKRIEG/
BLIZZARD II/DONALD G
BLIZZARD/PROF. GREGO
BLOB/FRED J. DUKES
BLOCKBUSTER II
BLOCKBUSTER III/MICH
BLOCKBUSTER/
BLOOD BROTHERS
BLOODAXE/JACKIE LUKU
BLOODLUST
BLUE BULLET/PROF. JO
BOMBSHELL/
BONEBREAKER/
BOOMERANG/FRED MYERS
BOOMSLANG/
BRAINCHILD
BRASS BISHOP/
BROTHER TODE
BROTHERS GRIMM
BROTHERS GRIMM II/BA
BRUTE II/
BRUTE | MUTANT X-VER
BRUTE/REED RICHARDS
BRUTO THE STRONGMAN/
BULLET
BULLSEYE
BULLSEYE II/BENJAMIN
BULLSEYE | MUTANT X-
BUSHMASTER II/QUINCY
BUSHMASTER/JOHN MCIV
BUSHWACKER/CARL
CACHE
CALIBAN/
CALYPSO
CANCER II/
CANCER/JACK KLEVENO
CANDRA
CAPTAIN RECTITUDE
CARNAGE/CLETUS KASAD
CARNIVORE/COUNT ANDR
CARRION
CARRION II/MALCOLM M
CARRION III/DR. WILL
CATSEYE/SHARON SMITH
CHAMELEON/DMITRI SME
CHANCE
CHANCE II/NICHOLAS P
CHANGELING
CHAOS/DANIEL DASH
CHARM
CHEMISTRO III
CHEMISTRO/CURTIS CAR
CHIMERA II
CHIMERA/ZUHN
CLASS CLOWN/GLASS
CLOWN/CRAFTY ELIOT F
COACH
COACHWHIP
COCKROACH/
COLDHEART
COLLECTOR/TANELEER T
COMPUTO
CONSTRICTOR/FRANK PA
CORRUPTOR/JACKSON DA
COTTONMOUTH
COTTONMOUTH II
"COUNT NEFARIA, LUCHI"
CRIME-MASTER/NICK LU
CRIMSON COWL II/
CRIMSON DYNAMO II/BO
CRIMSON DYNAMO III/A
CRIMSON DYNAMO IV/YU
CRIMSON DYNAMO V/DIM
CRIMSON DYNAMO VI/VA
CRIMSON DYNAMO VIII/
CRIMSON DYNAMO/PROF.
CROSSBONES II/
CROSSBONES/BROCK BIN
CROSSBOW
CROSSFIRE
CRUSADER II/ARTHUR B
CRUSADER X/BRIAN BRA
CRUSHER II/JUAN APON
CRUSHER/EL PROFESSOR
CYCLONE
CYCLONE II/PIERRE FR
D'KAY
D'KEN [SHI'AR]
D'SPAYRE
D.K./DAVID KALEN
DADDY WRONGLEGS
DAMAGE
DANSEN MACABRE
DARK BEAST/HENRY MCC
DARK CRAWLER
DARKOTH/MAJOR DESMON
DEADPOOL/JACK/WADE W
DEATH ADDER
DEATH'S HEAD
DEATH-STALKER
DEATHBIRD [SHI'AR]
DEATHLOK II/COL. JOH
DEATHLOK III DOPPELG
DEATHLOK III/MICHAEL
DEATHLOK IV
DEATHLOK | MUTANT X-
DEATHLOK/COLONEL LUT
DEATHTOLL
DEATHURGE
DEATHWATCH/STEPHAN L
DECAY II/YOSHIRO HAC
DECAY/
DELUGE
DELUGE II
DEMOGOBLIN
DEMON BEAR
DESAK/DESAK STERIXIA
DESTINY II/IRENE ADL
DESTINY/PAUL DESTINE
DESTROYER III
DIABLO/ESTEBAN DE AB
DIAMONDBACK
DIAMONDBACK II/RACHE
DIAMONDHEAD/DYKER
DORMAMMU
DOUGHBOY
DR. ANGST/FLOYD MANG
DR. BONG
DR. DOOM CLONE/VICTO
DR. DOOM DOPPELGANGE
DR. DOOM | MUTANT X-
DR. DOOM | TIMESLIDE
DR. DOOM/VICTOR VON
DR. OCTOPUS II/CAROL
DR. OCTOPUS | MUTANT
DR. OCTOPUS/OTTO OCT
DR. SPECTRUM II/DR.
DR. SPECTRUM III/REV
DR. SPECTRUM/JOSEPH
DR. SUN
DRAGON OF THE MOON
DREADKNIGHT/BRAM VEL
DREAM QUEEN
DUCHARME
DUSK
DUSK III
DWELLER IN DARKNESS
EGGHEAD/PROF. ELIHAS
EGO
ELECTRO/MAX DILLON
EMPATH/MANUEL ALFONS
ENCHANTRESS/AMORA/HE
ENFORCER/DELAZNY
EQUILIBRIUS
EQUINOX/TERRY SORENS
ERG
ESON II
ESON [CELESTIAL]
EVERWRAITH/
EXILE
EXITAR
EXODUS/BENNET DUPARI
ANGEL DOPPELGANGER
ANIMATOR II/
ANIMATOR/DR. FREDRIC
AURORA DOPPELGANGER
BARON STRUCKER/WOLFG
BARONESS ZEMO/HEIKE
BEAST DOPPELGANGER
BEAST DOPPELGANGER I
BLACKJACK/
"BOUDREAUX, BELLA DON"
"BRANDT, ELLEN"
"BREWER, AMY"
CRIME-WAVE/HOLLIS
CRIMEWAVE/
CYCLOPS DOPPELGANGER
DEVOS THE DEVESTATOR
DOPPELGANGER
"DRAKE, CARLTON"
DRAX DOPPELGANGER
ELEKTRA/ELEKTRA NATC
"FROST, DEACON"
GAMBIT DOPPELGANGER
"HARKNESS, AGATHA"
HAWKEYE DOPPELGANGER
"HITLER, ADOLF"
"HODGE, CAMERON"
HULK DOPPELGANGER
HULK DOPPELGANGER II
ICEMAN DOPPELGANGER
"KAFKA, DR. ASHLEY"
KARNAK DOPPELGANGER
"KINE, BENEDICT"
"MENKEN, DONALD L."
NOVA DOPPELGANGER
NOVA DOPPELGANGER II
"PIERCE, ALEXANDER GO"
"PIERCE, DONALD"
POLARIS DOPPELGANGER
PUCK DOPPELGANGER
PUCK DOPPELGANGER II
QUASAR DOPPELGANGER
"REYES, DR. CECELIA"
RINTRAH DOPPELGANGER
ROGUE DOPPELGANGER
